day,zone_id,w1,w2,w3,drift_index,flood_event,land_use,drain_material,drain_age_yrs,year
0,1554,0.3334,0.3334,0.3331,0.0606,0,industrial,cast_iron,34,0.0
0,1590,0.3334,0.3334,0.3333,0.0176,0,industrial,cast_iron,22,0.0
0,1609,0.3335,0.3335,0.3331,0.2201,0,green_space,clay,5,0.0
0,1624,0.3334,0.3334,0.3331,0.0731,0,mixed_use,concrete,15,0.0
0,1631,0.3334,0.3334,0.3333,0.0188,0,mixed_use,cast_iron,27,0.0
0,1646,0.3334,0.3334,0.3333,0.0159,0,residential_light,clay,31,0.0
0,1682,0.3335,0.3335,0.333,0.1075,0,commercial,concrete,2,0.0
0,1740,0.3334,0.3334,0.3333,0.0095,0,industrial,clay,23,0.0
0,1764,0.3334,0.3334,0.3332,0.0594,0,mixed_use,concrete,19,0.0
0,1784,0.3334,0.3334,0.3332,0.0287,0,residential_dense,concrete,33,0.0
0,1788,0.3334,0.3334,0.3333,0.0855,0,green_space,pvc,29,0.0
0,1795,0.3334,0.3334,0.3333,0.0081,0,industrial,pvc,23,0.0
0,1808,0.3335,0.3335,0.333,0.087,0,industrial,hdpe,4,0.0
0,1820,0.3335,0.3335,0.3329,0.1386,0,mixed_use,hdpe,2,0.0
0,1822,0.3335,0.3335,0.3331,0.0466,0,residential_dense,concrete,34,0.0
0,1826,0.3334,0.3334,0.3332,0.0302,0,mixed_use,hdpe,23,0.0
0,1828,0.3336,0.3336,0.3328,0.1508,0,mixed_use,pvc,3,0.0
0,1877,0.3335,0.3335,0.3329,0.0561,0,commercial,hdpe,32,0.0
0,1880,0.3333,0.3333,0.3333,0.0013,0,commercial,cast_iron,24,0.0
0,1882,0.3336,0.3336,0.3328,0.1441,0,mixed_use,hdpe,4,0.0
0,1891,0.3334,0.3334,0.3333,0.0167,0,residential_dense,pvc,22,0.0
0,1923,0.3334,0.3334,0.3332,0.0426,0,commercial,hdpe,13,0.0
0,1946,0.3334,0.3334,0.3332,0.1933,0,green_space,concrete,10,0.0
0,1996,0.3335,0.3335,0.333,0.1397,0,residential_light,cast_iron,10,0.0
0,2006,0.3334,0.3334,0.3332,0.0218,0,industrial,pvc,27,0.0
0,2023,0.3334,0.3334,0.3332,0.0528,0,mixed_use,pvc,19,0.0
0,2028,0.3335,0.3335,0.333,0.0973,0,mixed_use,pvc,11,0.0
0,2032,0.3334,0.3334,0.3332,0.1634,0,green_space,hdpe,16,0.0
0,2089,0.3334,0.3334,0.3332,0.0545,0,residential_light,hdpe,24,0.0
0,2125,0.3334,0.3334,0.3332,0.0831,0,green_space,clay,33,0.0
0,2146,0.3335,0.3335,0.3329,0.1556,0,residential_light,clay,5,0.0
0,2198,0.3334,0.3334,0.3332,0.2272,0,green_space,concrete,4,0.0
0,2209,0.3334,0.3334,0.3332,0.1198,0,green_space,concrete,27,0.0
0,2218,0.3333,0.3333,0.3333,0.0012,0,residential_dense,concrete,27,0.0
0,2247,0.3334,0.3334,0.3332,0.1068,0,green_space,concrete,29,0.0
0,2257,0.3334,0.3334,0.3333,0.0321,0,industrial,pvc,31,0.0
0,2305,0.3335,0.3335,0.333,0.0928,0,industrial,concrete,4,0.0
0,2327,0.3335,0.3335,0.333,0.0867,0,residential_dense,concrete,5,0.0
0,2358,0.3336,0.3336,0.3329,0.1709,0,residential_light,pvc,2,0.0
0,2412,0.3334,0.3334,0.3332,0.048,0,residential_light,concrete,27,0.0
0,2419,0.3334,0.3334,0.3331,0.1578,0,residential_light,cast_iron,4,0.0
0,2428,0.3334,0.3334,0.3332,0.1593,0,green_space,hdpe,16,0.0
0,2450,0.3334,0.3334,0.3333,0.0753,0,green_space,pvc,32,0.0
0,2458,0.3334,0.3334,0.3332,0.1114,0,green_space,hdpe,26,0.0
0,2460,0.3334,0.3334,0.3332,0.0498,0,residential_light,concrete,28,0.0
0,2465,0.3334,0.3334,0.3332,0.0429,0,residential_light,cast_iron,25,0.0
0,2483,0.3334,0.3334,0.3332,0.0383,0,residential_light,hdpe,26,0.0
30,7,0.3369,0.3369,0.3262,0.1909,0,green_space,pvc,11,0.08
30,20,0.3375,0.3375,0.3251,0.0824,0,residential_light,pvc,17,0.08
30,39,0.3369,0.3371,0.326,0.1126,0,residential_light,pvc,13,0.08
30,40,0.3372,0.3372,0.3255,0.0608,0,industrial,concrete,31,0.08
30,52,0.3346,0.3347,0.3307,0.1256,0,green_space,cast_iron,27,0.08
30,94,0.343,0.343,0.314,0.0921,0,industrial,clay,2,0.08
30,144,0.335,0.3351,0.3299,0.0231,0,industrial,clay,25,0.08
30,147,0.335,0.335,0.33,0.0253,0,industrial,hdpe,26,0.08
30,165,0.3363,0.3363,0.3274,0.0432,0,residential_dense,hdpe,33,0.08
30,186,0.3361,0.3362,0.3278,0.1787,0,green_space,pvc,15,0.08
30,221,0.3385,0.3385,0.323,0.1493,0,residential_light,hdpe,4,0.08
30,238,0.3339,0.3339,0.3322,0.0099,0,residential_dense,concrete,22,0.08
30,252,0.3352,0.3354,0.3293,0.086,0,green_space,clay,33,0.08
30,258,0.3375,0.3375,0.3249,0.1077,0,residential_light,concrete,12,0.08
30,277,0.3362,0.3363,0.3275,0.0621,0,residential_dense,concrete,13,0.08
30,293,0.3411,0.3412,0.3177,0.0876,0,industrial,clay,2,0.08
30,334,0.3353,0.3353,0.3295,0.1624,0,green_space,concrete,13,0.08
30,344,0.3349,0.3349,0.3302,0.0314,0,residential_light,pvc,27,0.08
30,387,0.336,0.3362,0.3278,0.0388,0,industrial,clay,13,0.08
30,400,0.3365,0.3365,0.3271,0.0606,0,industrial,cast_iron,31,0.08
30,411,0.339,0.3397,0.3214,0.1201,0,residential_dense,concrete,3,0.08
30,430,0.3351,0.3351,0.3298,0.1255,0,green_space,cast_iron,21,0.08
30,450,0.3374,0.3374,0.3252,0.051,0,industrial,clay,13,0.08
30,512,0.3398,0.3399,0.3203,0.0939,0,industrial,pvc,4,0.08
30,520,0.3347,0.3347,0.3306,0.031,0,mixed_use,pvc,25,0.08
30,564,0.3352,0.3352,0.3297,0.0359,0,industrial,concrete,28,0.08
30,586,0.3343,0.3347,0.331,0.0428,0,residential_light,cast_iron,24,0.08
30,603,0.3342,0.3342,0.3315,0.0209,0,residential_light,concrete,27,0.08
30,667,0.3361,0.3361,0.3278,0.0479,0,commercial,concrete,28,0.08
30,668,0.3359,0.3359,0.3282,0.0571,0,mixed_use,pvc,17,0.08
30,675,0.3403,0.3404,0.3193,0.1281,0,mixed_use,clay,6,0.08
30,681,0.3377,0.3383,0.324,0.1365,0,mixed_use,pvc,6,0.08
30,694,0.3364,0.3364,0.3273,0.0458,0,residential_dense,concrete,11,0.08
30,712,0.3374,0.3374,0.3252,0.0641,0,industrial,hdpe,8,0.08
30,717,0.3384,0.3384,0.3232,0.0919,0,mixed_use,clay,14,0.08
30,718,0.3349,0.3349,0.3302,0.0285,0,residential_dense,cast_iron,26,0.08
30,750,0.3368,0.3368,0.3264,0.2,0,green_space,pvc,5,0.08
30,773,0.334,0.334,0.3319,0.0111,0,mixed_use,concrete,31,0.08
30,774,0.3369,0.3371,0.326,0.0676,0,mixed_use,clay,20,0.08
30,785,0.3361,0.3362,0.3277,0.0451,0,commercial,concrete,30,0.08
30,793,0.3341,0.3341,0.3318,0.0151,0,residential_light,cast_iron,30,0.08
30,812,0.3338,0.3338,0.3324,0.0109,0,residential_dense,cast_iron,23,0.08
30,819,0.3334,0.3334,0.3331,0.0012,0,residential_dense,hdpe,24,0.08
30,834,0.3347,0.3347,0.3306,0.0149,0,commercial,hdpe,22,0.08
30,854,0.334,0.334,0.332,0.0071,0,residential_dense,hdpe,20,0.08
30,859,0.3365,0.3365,0.327,0.0699,0,industrial,cast_iron,33,0.08
30,974,0.3348,0.3348,0.3304,0.0304,0,mixed_use,hdpe,21,0.08
30,977,0.3338,0.3338,0.3324,0.0026,0,commercial,clay,16,0.08
30,986,0.3383,0.3383,0.3234,0.0842,0,commercial,concrete,3,0.08
30,1011,0.3388,0.3389,0.3223,0.1141,0,mixed_use,pvc,10,0.08
30,1013,0.3346,0.3346,0.3307,0.026,0,mixed_use,pvc,22,0.08
30,1020,0.3335,0.3335,0.3329,0.0056,0,commercial,concrete,20,0.08
30,1028,0.3347,0.3348,0.3305,0.0242,0,commercial,cast_iron,13,0.08
30,1036,0.3337,0.3337,0.3326,0.003,0,commercial,pvc,18,0.08
30,1073,0.3352,0.3352,0.3295,0.0294,0,commercial,hdpe,11,0.08
30,1080,0.3382,0.3382,0.3236,0.0696,0,commercial,concrete,6,0.08
30,1110,0.3371,0.3372,0.3257,0.0796,0,residential_dense,cast_iron,9,0.08
30,1196,0.3399,0.3399,0.3203,0.1485,0,residential_light,hdpe,5,0.08
30,1206,0.3371,0.3371,0.3257,0.2167,0,green_space,clay,5,0.08
30,1253,0.3353,0.3353,0.3294,0.0341,0,residential_light,clay,25,0.08
30,1288,0.3362,0.3363,0.3275,0.0543,0,residential_dense,concrete,31,0.08
30,1319,0.3385,0.3385,0.323,0.073,0,commercial,concrete,31,0.08
30,1324,0.337,0.337,0.3261,0.0512,0,commercial,pvc,12,0.08
30,1364,0.3381,0.3381,0.3238,0.1036,0,residential_dense,concrete,4,0.08
30,1380,0.3375,0.3375,0.325,0.105,0,mixed_use,pvc,7,0.08
30,1407,0.3354,0.3354,0.3292,0.1261,0,green_space,concrete,24,0.08
30,1419,0.336,0.336,0.3281,0.0438,0,commercial,hdpe,13,0.08
30,1472,0.3387,0.339,0.3222,0.094,0,commercial,pvc,5,0.08
30,1502,0.3358,0.3361,0.3281,0.0656,0,residential_dense,cast_iron,9,0.08
30,1510,0.3359,0.3365,0.3276,0.0708,0,residential_dense,concrete,14,0.08
30,1520,0.3379,0.3379,0.3242,0.069,0,commercial,concrete,30,0.08
30,1525,0.334,0.334,0.3321,0.0094,0,commercial,concrete,16,0.08
30,1552,0.334,0.334,0.332,0.0157,0,residential_dense,cast_iron,23,0.08
30,1554,0.3383,0.3384,0.3233,0.0768,0,industrial,cast_iron,34,0.08
30,1590,0.3336,0.3336,0.3328,0.004,0,industrial,cast_iron,22,0.08
30,1609,0.338,0.3381,0.3239,0.2156,0,green_space,clay,5,0.08
30,1624,0.336,0.336,0.328,0.0646,0,mixed_use,concrete,15,0.08
30,1631,0.3336,0.3337,0.3327,0.0028,0,mixed_use,cast_iron,27,0.08
30,1646,0.3336,0.3337,0.3327,0.0047,0,residential_light,clay,31,0.08
30,1682,0.3379,0.338,0.3241,0.0922,0,commercial,concrete,2,0.08
30,1740,0.3335,0.3336,0.3329,0.0076,0,industrial,clay,23,0.08
30,1764,0.3351,0.3353,0.3296,0.0443,0,mixed_use,concrete,19,0.08
30,1784,0.3369,0.3369,0.3262,0.0521,0,residential_dense,concrete,33,0.08
30,1788,0.3349,0.3349,0.3303,0.0817,0,green_space,pvc,29,0.08
30,1795,0.3345,0.3346,0.3309,0.0204,0,industrial,pvc,23,0.08
30,1808,0.3378,0.3379,0.3243,0.0806,0,industrial,hdpe,4,0.08
30,1820,0.3395,0.3395,0.3211,0.1243,0,mixed_use,hdpe,2,0.08
30,1822,0.3371,0.3372,0.3257,0.0545,0,residential_dense,concrete,34,0.08
30,1826,0.3343,0.3343,0.3313,0.0113,0,mixed_use,hdpe,23,0.08
30,1828,0.3392,0.3392,0.3215,0.1404,0,mixed_use,pvc,3,0.08
30,1877,0.3381,0.3388,0.3231,0.0707,0,commercial,hdpe,32,0.08
30,1880,0.334,0.334,0.332,0.0178,0,commercial,cast_iron,24,0.08
30,1882,0.3389,0.3389,0.3222,0.1305,0,mixed_use,hdpe,4,0.08
30,1891,0.3337,0.3337,0.3325,0.0045,0,residential_dense,pvc,22,0.08
30,1923,0.3352,0.3352,0.3295,0.0221,0,commercial,hdpe,13,0.08
30,1946,0.3359,0.336,0.3281,0.1923,0,green_space,concrete,10,0.08
30,1996,0.3378,0.3379,0.3243,0.1294,0,residential_light,cast_iron,10,0.08
30,2006,0.3358,0.3358,0.3285,0.0336,0,industrial,pvc,27,0.08
30,2023,0.3357,0.3357,0.3286,0.035,0,mixed_use,pvc,19,0.08
30,2028,0.3382,0.3382,0.3236,0.0811,0,mixed_use,pvc,11,0.08
30,2032,0.3358,0.3359,0.3282,0.1612,0,green_space,hdpe,16,0.08
30,2089,0.3351,0.3351,0.3299,0.0484,0,residential_light,hdpe,24,0.08
30,2125,0.335,0.335,0.3299,0.0798,0,green_space,clay,33,0.08
30,2146,0.3407,0.3408,0.3185,0.1379,0,residential_light,clay,5,0.08
30,2198,0.3366,0.3366,0.3268,0.2182,0,green_space,concrete,4,0.08
30,2209,0.3349,0.3349,0.3302,0.117,0,green_space,concrete,27,0.08
30,2218,0.3341,0.3341,0.3318,0.0112,0,residential_dense,concrete,27,0.08
30,2247,0.335,0.335,0.3299,0.101,0,green_space,concrete,29,0.08
30,2257,0.3363,0.3367,0.327,0.0536,0,industrial,pvc,31,0.08
30,2305,0.3375,0.3375,0.325,0.0846,0,industrial,concrete,4,0.08
30,2327,0.3374,0.3375,0.3251,0.0726,0,residential_dense,concrete,5,0.08
30,2358,0.3406,0.3406,0.3188,0.1514,0,residential_light,pvc,2,0.08
30,2412,0.3345,0.335,0.3305,0.0319,0,residential_light,concrete,27,0.08
30,2419,0.3374,0.3374,0.3252,0.1432,0,residential_light,cast_iron,4,0.08
30,2428,0.3357,0.3357,0.3287,0.1526,0,green_space,hdpe,16,0.08
30,2450,0.3348,0.335,0.3302,0.0746,0,green_space,pvc,32,0.08
30,2458,0.3353,0.3353,0.3294,0.109,0,green_space,hdpe,26,0.08
30,2460,0.3353,0.3353,0.3294,0.0373,0,residential_light,concrete,28,0.08
30,2465,0.3346,0.3347,0.3307,0.0276,0,residential_light,cast_iron,25,0.08
30,2483,0.3347,0.3347,0.3307,0.0253,0,residential_light,hdpe,26,0.08
60,7,0.3412,0.3412,0.3176,0.1842,0,green_space,pvc,11,0.16
60,20,0.3418,0.3423,0.316,0.0835,0,residential_light,pvc,17,0.16
60,39,0.3411,0.3419,0.317,0.1018,0,residential_light,pvc,13,0.16
60,40,0.3427,0.3428,0.3144,0.0664,0,industrial,concrete,31,0.16
60,52,0.3359,0.3363,0.3278,0.1238,0,green_space,cast_iron,27,0.16
60,94,0.3532,0.3538,0.293,0.0898,0,industrial,clay,2,0.16
60,144,0.3371,0.3374,0.3255,0.0256,0,industrial,clay,25,0.16
60,147,0.3378,0.3378,0.3244,0.0359,0,industrial,hdpe,26,0.16
60,165,0.34,0.3404,0.3197,0.0563,0,residential_dense,hdpe,33,0.16
60,186,0.3394,0.3398,0.3208,0.1731,0,green_space,pvc,15,0.16
60,221,0.345,0.3451,0.3099,0.1379,0,residential_light,hdpe,4,0.16
60,238,0.3341,0.3342,0.3317,0.0017,0,residential_dense,concrete,22,0.16
60,252,0.3374,0.3379,0.3248,0.0864,0,green_space,clay,33,0.16
60,258,0.3422,0.3423,0.3156,0.1008,0,residential_light,concrete,12,0.16
60,277,0.3395,0.3396,0.3208,0.0422,0,residential_dense,concrete,13,0.16
60,293,0.3499,0.3502,0.2999,0.0745,0,industrial,clay,2,0.16
60,334,0.3373,0.3374,0.3252,0.1633,0,green_space,concrete,13,0.16
60,344,0.3364,0.3365,0.3271,0.0196,0,residential_light,pvc,27,0.16
60,387,0.3384,0.3392,0.3224,0.0366,0,industrial,clay,13,0.16
60,400,0.3405,0.3408,0.3187,0.0698,0,industrial,cast_iron,31,0.16
60,411,0.3455,0.3472,0.3073,0.113,0,residential_dense,concrete,3,0.16
60,430,0.3369,0.3372,0.326,0.131,0,green_space,cast_iron,21,0.16
60,450,0.3417,0.3419,0.3164,0.0426,0,industrial,clay,13,0.16
60,512,0.3475,0.3475,0.305,0.0771,0,industrial,pvc,4,0.16
60,520,0.3361,0.3362,0.3277,0.0214,0,mixed_use,pvc,25,0.16
60,564,0.3381,0.3382,0.3236,0.0453,0,industrial,concrete,28,0.16
60,586,0.3353,0.3362,0.3285,0.0397,0,residential_light,cast_iron,24,0.16
60,603,0.335,0.3351,0.3299,0.0181,0,residential_light,concrete,27,0.16
60,667,0.34,0.3401,0.3199,0.0644,0,commercial,concrete,28,0.16
60,668,0.3388,0.3389,0.3223,0.0498,0,mixed_use,pvc,17,0.16
60,675,0.3492,0.3494,0.3015,0.1172,0,mixed_use,clay,6,0.16
60,681,0.3423,0.3447,0.313,0.1286,0,mixed_use,pvc,6,0.16
60,694,0.339,0.3398,0.3212,0.0479,0,residential_dense,concrete,11,0.16
60,712,0.3417,0.3417,0.3166,0.0554,0,industrial,hdpe,8,0.16
60,717,0.3445,0.3448,0.3107,0.0825,0,mixed_use,clay,14,0.16
60,718,0.3376,0.3377,0.3247,0.0373,0,residential_dense,cast_iron,26,0.16
60,750,0.3412,0.3412,0.3176,0.1927,0,green_space,pvc,5,0.16
60,773,0.335,0.3351,0.3299,0.0231,0,mixed_use,concrete,31,0.16
60,774,0.3405,0.3417,0.3179,0.0589,0,mixed_use,clay,20,0.16
60,785,0.3396,0.3397,0.3207,0.0541,0,commercial,concrete,30,0.16
60,793,0.3347,0.3348,0.3304,0.0133,0,residential_light,cast_iron,30,0.16
60,812,0.3342,0.3346,0.3312,0.0219,0,residential_dense,cast_iron,23,0.16
60,819,0.334,0.334,0.332,0.0111,0,residential_dense,hdpe,24,0.16
60,834,0.3371,0.3372,0.3257,0.0338,0,commercial,hdpe,22,0.16
60,854,0.3344,0.3345,0.3311,0.0059,0,residential_dense,hdpe,20,0.16
60,859,0.3413,0.3414,0.3173,0.0724,0,industrial,cast_iron,33,0.16
60,974,0.3362,0.3363,0.3275,0.0241,0,mixed_use,hdpe,21,0.16
60,977,0.3337,0.3345,0.3319,0.0195,0,commercial,clay,16,0.16
60,986,0.3438,0.344,0.3123,0.0763,0,commercial,concrete,3,0.16
60,1011,0.3447,0.3452,0.3101,0.1046,0,mixed_use,pvc,10,0.16
60,1013,0.336,0.336,0.328,0.021,0,mixed_use,pvc,22,0.16
60,1020,0.3342,0.3343,0.3316,0.0158,0,commercial,concrete,20,0.16
60,1028,0.3356,0.3363,0.3281,0.0281,0,commercial,cast_iron,13,0.16
60,1036,0.3338,0.3339,0.3322,0.0067,0,commercial,pvc,18,0.16
60,1073,0.337,0.337,0.326,0.0181,0,commercial,hdpe,11,0.16
60,1080,0.3433,0.3434,0.3134,0.0579,0,commercial,concrete,6,0.16
60,1110,0.3416,0.3417,0.3167,0.0657,0,residential_dense,cast_iron,9,0.16
60,1196,0.3474,0.3474,0.3052,0.1365,0,residential_light,hdpe,5,0.16
60,1206,0.3417,0.3418,0.3165,0.2106,0,green_space,clay,5,0.16
60,1253,0.3371,0.3376,0.3253,0.0357,0,residential_light,clay,25,0.16
60,1288,0.3395,0.3403,0.3201,0.0708,0,residential_dense,concrete,31,0.16
60,1319,0.3449,0.345,0.31,0.0779,0,commercial,concrete,31,0.16
60,1324,0.3406,0.3407,0.3187,0.042,0,commercial,pvc,12,0.16
60,1364,0.344,0.344,0.312,0.0942,0,residential_dense,concrete,4,0.16
60,1380,0.343,0.3431,0.3139,0.0965,0,mixed_use,pvc,7,0.16
60,1407,0.3377,0.3377,0.3246,0.124,0,green_space,concrete,24,0.16
60,1419,0.3385,0.3391,0.3224,0.0436,0,commercial,hdpe,13,0.16
60,1472,0.3445,0.3457,0.3097,0.0797,0,commercial,pvc,5,0.16
60,1502,0.3384,0.3392,0.3224,0.0571,0,residential_dense,cast_iron,9,0.16
60,1510,0.3386,0.3401,0.3213,0.0643,0,residential_dense,concrete,14,0.16
60,1520,0.3428,0.3429,0.3143,0.0649,0,commercial,concrete,30,0.16
60,1525,0.3342,0.3344,0.3314,0.0147,0,commercial,concrete,16,0.16
60,1552,0.3344,0.3345,0.3311,0.0055,0,residential_dense,cast_iron,23,0.16
60,1554,0.3445,0.345,0.3104,0.087,0,industrial,cast_iron,34,0.16
60,1590,0.3337,0.3338,0.3325,0.0031,0,industrial,cast_iron,22,0.16
60,1609,0.3434,0.3438,0.3128,0.2067,0,green_space,clay,5,0.16
60,1624,0.3388,0.3389,0.3222,0.056,0,mixed_use,concrete,15,0.16
60,1631,0.3337,0.3338,0.3326,0.0027,0,mixed_use,cast_iron,27,0.16
60,1646,0.3336,0.3338,0.3326,0.002,0,residential_light,clay,31,0.16
60,1682,0.3433,0.3434,0.3132,0.0795,0,commercial,concrete,2,0.16
60,1740,0.3346,0.3349,0.3305,0.0165,0,industrial,clay,23,0.16
60,1764,0.337,0.3375,0.3255,0.0413,0,mixed_use,concrete,19,0.16
60,1784,0.3411,0.3413,0.3176,0.0609,0,residential_dense,concrete,33,0.16
60,1788,0.3367,0.3368,0.3265,0.0837,0,green_space,pvc,29,0.16
60,1795,0.3361,0.3367,0.3272,0.0334,0,industrial,pvc,23,0.16
60,1808,0.3427,0.3428,0.3145,0.0662,0,industrial,hdpe,4,0.16
60,1820,0.3467,0.3467,0.3066,0.1147,0,mixed_use,hdpe,2,0.16
60,1822,0.3428,0.3429,0.3143,0.0626,0,residential_dense,concrete,34,0.16
60,1826,0.3352,0.3352,0.3296,0.0135,0,mixed_use,hdpe,23,0.16
60,1828,0.3461,0.3465,0.3074,0.1388,0,mixed_use,pvc,3,0.16
60,1877,0.3443,0.3461,0.3096,0.0774,0,commercial,hdpe,32,0.16
60,1880,0.3351,0.3352,0.3297,0.0235,0,commercial,cast_iron,24,0.16
60,1882,0.3452,0.3453,0.3095,0.1199,0,mixed_use,hdpe,4,0.16
60,1891,0.334,0.334,0.332,0.0077,0,residential_dense,pvc,22,0.16
60,1923,0.3368,0.3368,0.3264,0.02,0,commercial,hdpe,13,0.16
60,1946,0.3387,0.339,0.3223,0.1879,0,green_space,concrete,10,0.16
