zone_id,total_flood_days,flood_rate,avg_degradation,final_degradation,max_degradation,avg_drift_memory,final_drift_memory,max_drift_memory,avg_load_ratio,max_load_ratio,avg_d1,avg_d2,avg_d3,final_w1,final_w2,final_w3,avg_adaptive_thresh,final_adaptive_thresh,flood_trend_slope,flood_acceleration,land_use,drain_material,drain_age_yrs,drain_capacity,infra_health_score,elevation_m,grid_row,grid_col,flood_classification,cluster,pca1,pca2,x_m,y_m,maintenance_priority_score,maintenance_rank,priority_tier
33,0,0.0,0.18431027397260272,0.3,0.3,0.10794227397260274,0.0632,0.1679,0.116964415,0.4481,0.18431027397260272,0.021493315068493148,0.48520279452054793,0.0663,0.8837,0.05,0.8413649863013698,0.8449,0.0,0,green_space,hdpe,19,93.28,70.3,17.73,0,33,SAFE,1,-2.278232316970056,-0.42470184853065557,6700.0,100.0,0.4059,1985,MEDIUM
34,9,0.002465753424657534,0.1967381917808219,0.3,0.3,0.09889964383561643,0.0928,0.2902,0.36127704,1.182,0.1967381917808219,0.07090868493150686,0.17697276712328766,0.05,0.9,0.05,0.8420884931506849,0.8426,0.006060606060606095,-3,residential_light,concrete,26,95.04,57.9,19.26,0,34,SAFE,1,-0.32388494751167235,-0.3915232352956948,6900.0,100.0,0.453,990,MEDIUM
35,0,0.0,0.13500534246575344,0.3,0.3,0.09786219178082192,0.0977,0.1757,0.1214134,0.3866,0.13500534246575344,0.016402739726027397,0.5228611232876712,0.1943,0.7557,0.05,0.8421710136986301,0.8422,0.0,0,green_space,concrete,15,105.6,76.1,16.8,0,35,SAFE,4,-3.3924662092650393,-0.7239706956690265,7100.0,100.0,0.4399,1148,MEDIUM
36,2,0.000547945205479452,0.18130736986301368,0.3,0.3,0.09582950684931506,0.0769,0.2306,0.26988024,1.0559,0.18130736986301368,0.04874498630136986,0.38356739726027395,0.05,0.9,0.05,0.8423339452054794,0.8438,-0.09696969696969689,-2,residential_light,concrete,9,111.36,81.8,17.75,0,36,SAFE,1,-1.5301613167148709,-0.4358913962026899,7300.0,100.0,0.4066,1968,MEDIUM
37,8,0.002191780821917808,0.23043093150684932,0.3,0.3,0.12658994520547945,0.0906,0.3452,0.36790168,1.3356,0.23043093150684932,0.08500693150684932,0.43579673972602745,0.05,0.9,0.05,0.8398725753424657,0.8428,-0.04848484848484844,0,residential_light,clay,6,76.16,85.2,15.04,0,37,SAFE,1,-0.19146527694341597,-0.6712642101146951,7500.0,100.0,0.4187,1637,MEDIUM
38,12,0.0032876712328767125,0.17722021917808217,0.3,0.3,0.0711504109589041,0.1184,0.1458,0.36390907,1.3837,0.17722021917808217,0.0644171506849315,0.05864594520547946,0.05,0.254,0.6959,0.8443086027397261,0.8405,-0.060606060606060566,-2,residential_light,hdpe,33,80.96,42.4,15.09,0,38,SAFE,0,1.7950558042336737,-2.2327865930387247,7700.0,100.0,0.4939,728,MEDIUM
39,4,0.001095890410958904,0.21533975342465753,0.3,0.3,0.10929594520547946,0.0687,0.2522,0.31536627,1.2824,0.21533975342465753,0.06779920547945205,0.35159693150684934,0.05,0.9,0.05,0.8412562739726027,0.8445,-0.06060606060606053,-2,residential_light,pvc,13,89.6,76.0,16.01,0,39,SAFE,1,-0.8024991617549715,-0.5890337358158804,7900.0,100.0,0.4036,2051,MEDIUM
40,632,0.17315068493150684,0.18337490410958904,0.3,0.3,0.12487673972602739,0.1142,0.4397,0.5766235,2.1859,0.18337490410958904,0.10637942465753425,0.1494547397260274,0.05,0.9,0.05,0.8400104383561644,0.8409,0.7636363636363657,20,industrial,concrete,31,90.24,40.4,15.93,0,40,ACUTE,3,1.460427252242777,2.0857610021851856,8100.0,100.0,0.6094,279,HIGH
41,101,0.027671232876712328,0.148532301369863,0.3,0.3,0.09922268493150685,0.0932,0.3718,0.4827951,1.9619,0.148532301369863,0.07129101369863014,0.28772589041095886,0.05,0.9,0.05,0.8420628767123288,0.8425,0.05454545454545363,1,industrial,pvc,4,96.8,92.8,14.74,0,41,ACUTE,2,-1.1041619120920916,0.30665759304251106,8300.0,100.0,0.4347,1246,MEDIUM
42,0,0.0,0.1817244383561644,0.3,0.3,0.10090846575342466,0.061,0.1704,0.14609787,0.5827,0.1817244383561644,0.026603534246575345,0.4782698356164383,0.05,0.9,0.05,0.8419269863013699,0.8451,0.0,0,green_space,pvc,14,88.8,70.1,13.84,0,42,SAFE,1,-2.1737501832125656,-0.29298823300802207,8500.0,100.0,0.3956,2254,MEDIUM
43,7,0.0019178082191780822,0.21440057534246576,0.3,0.3,0.10360852054794521,0.0787,0.3249,0.3308636,1.2667,0.21440057534246576,0.07104980821917808,0.21477424657534247,0.05,0.9,0.05,0.8417110958904109,0.8437,0.06666666666666664,1,residential_light,concrete,24,96.96,60.9,13.07,0,43,SAFE,1,-0.25923645702608233,-0.26407155694676004,8700.0,100.0,0.4356,1225,MEDIUM
44,10,0.0027397260273972603,0.16736057534246573,0.3,0.3,0.0614747397260274,0.1006,0.1372,0.36613578,1.2218,0.16736057534246573,0.06106090410958904,0.04206917808219178,0.05,0.2961,0.6538,0.8450818082191781,0.842,-0.0363636363636364,0,residential_light,concrete,32,89.28,40.0,11.36,0,44,SAFE,0,1.3044084625554302,-1.8365217782019077,8900.0,100.0,0.4713,868,MEDIUM
45,7,0.0019178082191780822,0.19198638356164385,0.3,0.3,0.09859991780821918,0.0821,0.3335,0.3342538,1.28,0.19198638356164385,0.06426164383561644,0.26313890410958907,0.05,0.9,0.05,0.8421123835616439,0.8434,-0.018181818181818077,1,residential_light,hdpe,19,93.28,67.4,11.63,0,45,SAFE,1,-0.768286785740092,-0.21711907496006586,9100.0,100.0,0.429,1354,MEDIUM
46,7,0.0019178082191780822,0.1586749315068493,0.3,0.3,0.09175232876712329,0.0825,0.2302,0.33395478,1.1398,0.1586749315068493,0.05293824657534247,0.3449894520547945,0.05,0.9,0.05,0.8426608767123287,0.8434,-0.07878787878787868,-1,residential_light,pvc,11,91.2,78.3,11.47,0,46,SAFE,2,-1.62747788035605,-0.14466010526877665,9300.0,100.0,0.417,1682,MEDIUM
47,144,0.03945205479452055,0.18004495890410957,0.3,0.3,0.10554742465753425,0.072,0.4526,0.50981754,1.9487,0.18004495890410957,0.09182293150684932,0.05862934246575342,0.05,0.9,0.05,0.8415560547945206,0.8442,-0.14545454545454584,-6,residential_dense,concrete,26,95.04,53.4,12.64,0,47,ACUTE,1,-0.30351346567718834,-0.27871808115791585,9500.0,100.0,0.4484,1036,MEDIUM
48,6,0.0016438356164383563,0.13551523287671233,0.268,0.268,0.08570589041095891,0.0733,0.2181,0.30213848,1.2037,0.13551523287671233,0.040757150684931506,0.42195441095890407,0.05,0.9,0.05,0.8431429863013699,0.8441,-0.10909090909090915,-4,residential_light,pvc,7,94.4,87.9,11.65,0,48,SAFE,2,-2.471728818421491,-0.1389375240920745,9700.0,100.0,0.3111,2449,MEDIUM
49,4,0.001095890410958904,0.19769868493150683,0.3,0.3,0.1058993698630137,0.0806,0.2984,0.295883,1.1101,0.19769868493150683,0.0583318904109589,0.4472384109589041,0.05,0.9,0.05,0.8415282739726028,0.8435,7.057427666261345e-17,0,residential_light,concrete,4,116.16,89.6,9.34,0,49,SAFE,1,-1.1776183626835146,-0.37812169170435495,9900.0,100.0,0.4034,2061,MEDIUM
50,13,0.003561643835616438,0.1804428493150685,0.3,0.3,0.1195934794520548,0.1179,0.3979,0.4571032,1.5601,0.1804428493150685,0.08248558904109589,0.4611911780821918,0.05,0.9,0.05,0.8404324657534247,0.8406,0.2484848484848484,5,residential_light,clay,7,75.52,92.1,12.69,1,0,SAFE,1,-0.46170703287795617,0.26689637658314697,100.0,300.0,0.4632,927,MEDIUM
51,0,0.0,0.2020949589041096,0.3,0.3,0.09788583561643835,0.0664,0.1578,0.2278983,0.7424,0.2020949589041096,0.04609512328767123,0.37486402739726027,0.05,0.9,0.05,0.8421690684931508,0.8447,0.0,0,residential_light,cast_iron,13,125.44,79.4,12.18,1,1,SAFE,1,-1.3221323805849527,-0.3896652917988839,300.0,300.0,0.4003,2150,MEDIUM
52,0,0.0,0.17930400000000002,0.3,0.3,0.10627005479452055,0.0761,0.1477,0.09786066,0.3358,0.17930400000000002,0.017569287671232874,0.36092238356164386,0.1551,0.7949,0.05,0.8414984109589041,0.8439,0.0,0,green_space,cast_iron,27,109.76,55.8,12.28,1,2,SAFE,4,-2.460303105506848,-0.8114720033247155,500.0,300.0,0.4335,1279,MEDIUM
53,0,0.0,0.20584246575342463,0.3,0.3,0.11077794520547944,0.053,0.164,0.107790686,0.4369,0.20584246575342463,0.022163452054794523,0.41812273972602737,0.05,0.9,0.05,0.8411382739726028,0.8458,0.0,0,green_space,cast_iron,23,114.24,62.5,14.14,1,3,SAFE,1,-1.8593073896485621,-0.4849395331265191,700.0,300.0,0.4003,2149,MEDIUM
54,28,0.007671232876712329,0.14312191780821917,0.2769,0.2769,0.06443227397260273,0.1387,0.1402,0.46278912,1.4613,0.14312191780821917,0.0661452602739726,0.053025671232876714,0.05,0.05,0.9,0.8448446301369863,0.8389,-0.12121212121212077,-2,residential_light,pvc,31,75.2,45.2,15.25,1,4,SAFE,0,2.1965759218624594,-2.6510612806114917,900.0,300.0,0.4528,994,MEDIUM
55,7,0.0019178082191780822,0.1739134520547945,0.3,0.3,0.0956534794520548,0.0722,0.2361,0.27224582,1.0074,0.1739134520547945,0.04722276712328767,0.41878131506849314,0.05,0.9,0.05,0.842348109589041,0.8442,-0.12727272727272718,-1,residential_light,concrete,10,110.4,86.2,15.86,1,5,SAFE,1,-1.791868136104321,-0.3577700099777026,1100.0,300.0,0.4034,2060,MEDIUM
56,22,0.006027397260273973,0.2290404383561644,0.3,0.3,0.12482416438356164,0.0841,0.3338,0.43190107,1.8371,0.2290404383561644,0.09887038356164383,0.2180612876712329,0.05,0.9,0.05,0.8400139726027397,0.8433,-0.15757575757575756,-8,residential_light,clay,20,67.2,59.9,14.72,1,6,SAFE,1,0.20554142660052088,-0.9814953772223978,1300.0,300.0,0.4351,1235,MEDIUM
57,16,0.004383561643835616,0.20981380821917806,0.3,0.3,0.12901991780821917,0.0859,0.3407,0.46136963,1.7972,0.20981380821917806,0.09666657534246575,0.3772373150684931,0.05,0.9,0.05,0.8396779726027397,0.8431,-0.12121212121212131,-2,residential_light,clay,9,74.24,80.8,15.72,1,7,SAFE,1,-0.33008856532898206,-0.5659721856020913,1500.0,300.0,0.4191,1630,MEDIUM
58,12,0.0032876712328767125,0.15332838356164383,0.3,0.3,0.07887583561643835,0.0779,0.3034,0.42138284,1.5787,0.15332838356164383,0.06426397260273972,0.04233778082191781,0.05,0.9,0.05,0.8436897534246576,0.8438,-0.2909090909090909,-6,residential_light,hdpe,33,80.96,36.1,16.64,1,8,SAFE,2,-1.1267276070300898,-0.4051597384629104,1700.0,300.0,0.4467,1059,MEDIUM
59,556,0.15232876712328766,0.1673622191780822,0.3,0.3,0.10751336986301369,0.0795,0.3998,0.5480748,2.2017,0.1673622191780822,0.09152043835616439,0.08392786301369863,0.05,0.9,0.05,0.8413996164383561,0.8436,0.012121212121214277,-4,residential_dense,pvc,30,76.0,44.3,17.37,1,9,ACUTE,2,0.01769324630335054,0.2973711581890863,1900.0,300.0,0.5249,578,HIGH
60,0,0.0,0.2296389315068493,0.3,0.3,0.10556238356164384,0.0593,0.2244,0.17655921,0.6619,0.2296389315068493,0.04049819178082192,0.42641868493150686,0.05,0.9,0.05,0.8415557808219178,0.8453,0.0,0,green_space,clay,20,67.2,62.9,15.85,1,10,SAFE,1,-1.1938753369194828,-0.6620769416652922,2100.0,300.0,0.403,2069,MEDIUM
61,0,0.0,0.18517564383561647,0.3,0.3,0.10703364383561643,0.0609,0.1546,0.11451883,0.4609,0.18517564383561647,0.021165972602739724,0.45515117808219174,0.0715,0.8785,0.05,0.8414367397260274,0.8451,0.0,0,green_space,concrete,17,103.68,67.1,16.01,1,11,SAFE,1,-2.267247723909906,-0.4385556087543474,2300.0,300.0,0.4001,2158,MEDIUM
62,1,0.000273972602739726,0.1914002191780822,0.3,0.3,0.09515961643835617,0.0668,0.2223,0.22784173,0.9697,0.1914002191780822,0.043580164383561645,0.37485684931506846,0.05,0.9,0.05,0.8423883287671233,0.8447,-0.006060606060606069,-1,residential_light,cast_iron,13,125.44,79.9,14.99,1,12,SAFE,1,-1.5230339418550163,-0.3521332309775294,2500.0,300.0,0.4009,2131,MEDIUM
63,5,0.0013698630136986301,0.17874583561643834,0.3,0.3,0.10024391780821919,0.0762,0.3091,0.3018182,1.1483,0.17874583561643834,0.053863698630136986,0.4366722191780822,0.05,0.9,0.05,0.8419814520547946,0.8439,0.006060606060606106,-1,residential_light,pvc,6,95.2,87.8,14.93,1,13,SAFE,1,-1.565975013664648,-0.23323416779646328,2700.0,300.0,0.4018,2107,MEDIUM
64,0,0.0,0.23469424657534246,0.3,0.3,0.12021682191780822,0.0525,0.1695,0.09995518,0.3401,0.23469424657534246,0.023448712328767125,0.47742627397260273,0.05,0.9,0.05,0.8403823835616439,0.8458,0.0,0,green_space,cast_iron,16,122.08,69.0,17.15,1,14,SAFE,1,-1.5458392209845675,-0.7703320692679171,2900.0,300.0,0.3888,2343,MEDIUM
65,0,0.0,0.18901846575342468,0.3,0.3,0.10933169863013699,0.0768,0.1628,0.09686326,0.3895,0.18901846575342468,0.01827145205479452,0.3737606301369863,0.1383,0.8116,0.05,0.8412535890410959,0.8439,0.0,0,green_space,cast_iron,24,113.12,57.2,18.11,1,15,SAFE,4,-2.2309470938708684,-0.82946230054546,3100.0,300.0,0.4296,1344,MEDIUM
66,1917,0.5252054794520548,0.23120695890410958,0.3,0.3,0.21375657534246575,0.1177,0.7723,0.9056607,3.389,0.23120695890410958,0.2094150136986301,0.12385279452054794,0.05,0.9,0.05,0.8328986849315068,0.8406,0.8181818181818202,17,industrial,clay,31,60.16,40.6,17.26,1,16,ACUTE,3,4.7993124533478095,2.6431200125547414,3300.0,300.0,0.8059,8,CRITICAL
