zone_id,w1_initial,w2_initial,w3_initial,w1_final,w2_final,w3_final,w1_var,w2_var,w3_var,land_use,drain_material,grid_row,grid_col,dominant_component,w1_shift,w2_shift,w3_shift
14,0.3351,0.3352,0.3297,0.05,0.9,0.05,1.3070442066600225e-08,1.522783576635409e-07,1.1836714577516011e-07,residential_dense,concrete,0,14,StressMismatch(d2),-0.2851,0.5648,-0.2797
15,0.3391,0.3391,0.3218,0.05,0.9,0.05,1.6168506268389403e-10,2.3415475141967934e-09,1.6168506268389403e-10,residential_light,pvc,0,15,StressMismatch(d2),-0.2891,0.5609,-0.2718
16,0.3381,0.3381,0.3237,0.05,0.9,0.05,2.0456121282534512e-10,1.8096433858673723e-09,4.912767273203916e-10,residential_light,concrete,0,16,StressMismatch(d2),-0.2881,0.5619,-0.2737
17,0.3365,0.3365,0.327,0.05,0.9,0.05,1.3679890560873757e-11,2.7322301969538033e-11,1.3679890560873757e-11,green_space,clay,0,17,StressMismatch(d2),-0.2865,0.5635,-0.277
18,0.3336,0.3337,0.3327,0.05,0.2831,0.6668,8.454843243445718e-08,0.00173231665172501,0.0017324295604070276,residential_dense,pvc,0,18,FlowEfficiency(d3),-0.2836,-0.0506,0.3341
19,0.3349,0.3352,0.3298,0.05,0.9,0.05,3.637614077169287e-09,6.515750613718128e-09,2.818582163671042e-09,residential_dense,concrete,0,19,StressMismatch(d2),-0.2849,0.5648,-0.2798
20,0.3375,0.3375,0.3251,0.05,0.9,0.05,4.316473961358487e-10,2.372767647990676e-09,4.316473961358487e-10,residential_light,pvc,0,20,StressMismatch(d2),-0.2875,0.5625,-0.2751
21,0.3334,0.3334,0.3332,0.05,0.367,0.583,5.449468733017037e-11,0.0006126217261773201,0.0006125873871408969,residential_light,concrete,0,21,FlowEfficiency(d3),-0.2834,0.0336,0.2498
22,0.3356,0.3356,0.3287,0.1322,0.8178,0.05,0.001874903027116172,0.0018747909388153142,0.0,green_space,concrete,0,22,StressMismatch(d2),-0.2034,0.4822,-0.2787
23,0.3357,0.3357,0.3287,0.05,0.9,0.05,0.0032750433520604134,0.003275350900136787,1.3679890560873757e-11,green_space,hdpe,0,23,StressMismatch(d2),-0.2857,0.5643,-0.2787
24,0.3364,0.3364,0.3272,0.05,0.9,0.05,1.3668646815208762e-10,2.3915072240993406e-09,6.832449449992538e-11,residential_light,concrete,0,24,StressMismatch(d2),-0.2864,0.5636,-0.2772
25,0.3369,0.337,0.3261,0.05,0.9,0.05,1.502164421040728e-10,2.4495249517477817e-09,1.502164421040728e-10,residential_dense,cast_iron,0,25,StressMismatch(d2),-0.2869,0.563,-0.2761
26,0.3356,0.3356,0.3288,0.1683,0.7817,0.05,0.001300668451661272,0.001300701284185678,0.0,green_space,concrete,0,26,StressMismatch(d2),-0.1673,0.4461,-0.2788
27,0.3367,0.3367,0.3266,0.05,0.9,0.05,1.697918033093937e-09,3.351048479290521e-09,1.6071810055653505e-09,residential_dense,hdpe,0,27,StressMismatch(d2),-0.2867,0.5633,-0.2766
28,0.3368,0.3368,0.3263,0.05,0.9,0.05,9.436875737870897e-10,2.480257856562563e-09,9.436875737870897e-10,residential_dense,hdpe,0,28,StressMismatch(d2),-0.2868,0.5632,-0.2763
29,0.3335,0.3336,0.3329,0.05,0.5783,0.3717,5.847309933849396e-08,4.3952217603958644e-05,4.4103178569420204e-05,industrial,pvc,0,29,StressMismatch(d2),-0.2835,0.2447,0.0388
30,0.3379,0.3379,0.3242,0.05,0.9,0.05,2.732230196952847e-11,2.149129546681882e-09,2.732230196952847e-11,residential_light,hdpe,0,30,StressMismatch(d2),-0.2879,0.5621,-0.2742
31,0.3348,0.3349,0.3303,0.05,0.9,0.05,0.00348760972152989,0.003488098139384964,4.092723422594819e-11,green_space,pvc,0,31,StressMismatch(d2),-0.2848,0.5651,-0.2803
32,0.3357,0.3357,0.3286,0.05,0.9,0.05,1.3679890560875084e-11,1.149485598638699e-09,1.3679890560875084e-11,residential_light,concrete,0,32,StressMismatch(d2),-0.2857,0.5643,-0.2786
33,0.3354,0.3355,0.3291,0.0663,0.8837,0.05,0.002446375889736339,0.002446435491895123,0.0,green_space,hdpe,0,33,StressMismatch(d2),-0.2691,0.5482,-0.2791
34,0.3357,0.3357,0.3286,0.05,0.9,0.05,1.7491520341809617e-10,2.2987838015032467e-09,1.7491520341809617e-10,residential_light,concrete,0,34,StressMismatch(d2),-0.2857,0.5643,-0.2786
35,0.336,0.3361,0.3279,0.1943,0.7557,0.05,0.001539648598129801,0.0015395707358282001,1.3679890560875084e-11,green_space,concrete,0,35,StressMismatch(d2),-0.1417,0.4196,-0.2779
36,0.3371,0.3371,0.3258,0.05,0.9,0.05,1.3679890560875084e-11,6.417555234898305e-10,1.3679890560875084e-11,residential_light,concrete,0,36,StressMismatch(d2),-0.2871,0.5629,-0.2758
37,0.3388,0.3391,0.3222,0.05,0.9,0.05,5.664599066767768e-10,2.378951708107513e-09,5.664599066767768e-10,residential_light,clay,0,37,StressMismatch(d2),-0.2888,0.5609,-0.2722
38,0.3337,0.3337,0.3325,0.05,0.254,0.6959,1.5756985176997028e-09,0.001516294870678195,0.0015163149643010931,residential_light,hdpe,0,38,FlowEfficiency(d3),-0.2837,-0.0797,0.3634
39,0.3369,0.3371,0.326,0.05,0.9,0.05,8.189194760414243e-11,2.232633097836779e-09,1.5021644210407263e-10,residential_light,pvc,0,39,StressMismatch(d2),-0.2869,0.5629,-0.276
40,0.3372,0.3372,0.3255,0.05,0.9,0.05,1.1041800498472381e-07,2.154783276801652e-07,1.993707250342072e-08,industrial,concrete,0,40,StressMismatch(d2),-0.2872,0.5628,-0.2755
41,0.3384,0.3384,0.3232,0.05,0.9,0.05,4.436482206772385e-09,1.463722054607691e-08,5.041733035997968e-09,industrial,pvc,0,41,StressMismatch(d2),-0.2884,0.5616,-0.2732
42,0.3363,0.3364,0.3273,0.05,0.9,0.05,0.001449552584187544,0.0014502524689016636,0.0,green_space,pvc,0,42,StressMismatch(d2),-0.2863,0.5636,-0.2773
43,0.3357,0.3358,0.3285,0.05,0.9,0.05,1.7716395255141175e-10,2.478571294718064e-09,1.0891441635591217e-10,residential_light,concrete,0,43,StressMismatch(d2),-0.2857,0.5642,-0.2785
44,0.3334,0.3335,0.3331,0.05,0.2961,0.6538,6.616569533195603e-10,0.001502961878380169,0.0015029596718325261,residential_light,concrete,0,44,FlowEfficiency(d3),-0.2834,-0.0374,0.3207
45,0.3367,0.3367,0.3266,0.05,0.9,0.05,5.449468733017652e-11,2.143957423683965e-09,5.449468733017652e-11,residential_light,hdpe,0,45,StressMismatch(d2),-0.2867,0.5633,-0.2766
46,0.3376,0.3376,0.3248,0.05,0.9,0.05,9.542192155611798e-11,2.31864775218066e-09,9.542192155611798e-11,residential_light,pvc,0,46,StressMismatch(d2),-0.2876,0.5624,-0.2748
47,0.3341,0.3341,0.3317,0.05,0.9,0.05,8.854487191498988e-09,3.5131907876280777e-08,1.9432265802147176e-08,residential_dense,concrete,0,47,StressMismatch(d2),-0.2841,0.5659,-0.2817
48,0.3384,0.3385,0.3231,0.05,0.9,0.05,8.189194760413681e-11,1.4062177913508507e-09,1.5021644210405733e-10,residential_light,pvc,0,48,StressMismatch(d2),-0.2884,0.5615,-0.2731
49,0.3385,0.3387,0.3228,0.05,0.9,0.05,1.3679890560875084e-11,1.1016622004043197e-09,1.3679890560875084e-11,residential_light,concrete,0,49,StressMismatch(d2),-0.2885,0.5613,-0.2728
50,0.3418,0.3419,0.3163,0.05,0.9,0.05,2.4590446564098938e-09,6.635384067610692e-09,3.327886363209949e-09,residential_light,clay,1,0,StressMismatch(d2),-0.2918,0.5581,-0.2663
51,0.3361,0.3364,0.3275,0.05,0.9,0.05,0.0,2.7322301969484903e-11,0.0,residential_light,cast_iron,1,1,StressMismatch(d2),-0.2861,0.5636,-0.2775
52,0.3346,0.3347,0.3307,0.1551,0.7949,0.05,0.0014756441675318115,0.0014757931480614134,0.0,green_space,cast_iron,1,2,StressMismatch(d2),-0.1795,0.4602,-0.2807
53,0.3352,0.3352,0.3296,0.05,0.9,0.05,0.0022787645877855502,0.0022787445626745494,0.0,green_space,cast_iron,1,3,StressMismatch(d2),-0.2852,0.5648,-0.2796
54,0.3341,0.3341,0.3318,0.05,0.05,0.9,2.6805089668864178e-09,0.0044827834698199145,0.004483251743080468,residential_light,pvc,1,4,FlowEfficiency(d3),-0.2841,-0.2841,0.5682
55,0.3377,0.3377,0.3246,0.05,0.9,0.05,0.0,8.336862620154505e-10,0.0,residential_light,concrete,1,5,StressMismatch(d2),-0.2877,0.5623,-0.2746
56,0.3364,0.3364,0.3272,0.05,0.9,0.05,2.168543747540149e-09,4.297472031181115e-09,1.9267657365591e-09,residential_light,clay,1,6,StressMismatch(d2),-0.2864,0.5636,-0.2772
57,0.3399,0.3402,0.3199,0.05,0.9,0.05,2.33124074733423e-09,4.845792028181382e-09,2.4469388902425356e-09,residential_light,clay,1,7,StressMismatch(d2),-0.2899,0.5598,-0.2699
58,0.3337,0.3339,0.3323,0.05,0.9,0.05,9.328560987949257e-10,7.054945936322354e-07,6.888483406105212e-07,residential_light,hdpe,1,8,StressMismatch(d2),-0.2837,0.5661,-0.2823
59,0.335,0.3354,0.3296,0.05,0.9,0.05,5.425834379626336e-08,7.763941307646067e-08,5.138729081948115e-09,residential_dense,pvc,1,9,StressMismatch(d2),-0.285,0.5646,-0.2796
60,0.3364,0.3364,0.3273,0.05,0.9,0.05,0.0,1.3679890560865675e-11,0.0,green_space,clay,1,10,StressMismatch(d2),-0.2864,0.5636,-0.2773
61,0.3354,0.3354,0.3292,0.0715,0.8785,0.05,0.002322612695762977,0.0023225233659651917,2.7322301969530434e-11,green_space,concrete,1,11,StressMismatch(d2),-0.2639,0.5431,-0.2792
62,0.3365,0.3365,0.3269,0.05,0.9,0.05,1.3679890560874712e-11,9.5421921556055e-11,1.3679890560874712e-11,residential_light,cast_iron,1,12,StressMismatch(d2),-0.2865,0.5635,-0.2769
63,0.3382,0.3383,0.3235,0.05,0.9,0.05,0.0,1.6169255851441344e-09,0.0,residential_light,pvc,1,13,StressMismatch(d2),-0.2882,0.5617,-0.2735
64,0.3353,0.3355,0.3293,0.05,0.9,0.05,0.0013339927594775407,0.0013343006880422708,0.0,green_space,cast_iron,1,14,StressMismatch(d2),-0.2853,0.5645,-0.2793
65,0.3347,0.3347,0.3306,0.1383,0.8116,0.05,0.0015163077905290326,0.0015162463178981904,0.0,green_space,cast_iron,1,15,StressMismatch(d2),-0.1964,0.4769,-0.2806
66,0.3406,0.3407,0.3187,0.05,0.9,0.05,3.414391994453004e-08,5.133099713283177e-08,4.798905608754923e-09,industrial,clay,1,16,StressMismatch(d2),-0.2906,0.5593,-0.2687
67,0.3336,0.3336,0.3328,0.05,0.05,0.9,2.707426494012671e-08,0.0001086473546089998,0.00010852429023855782,residential_light,clay,1,17,FlowEfficiency(d3),-0.2836,-0.2836,0.5672
68,0.3359,0.336,0.3281,0.2656,0.6844,0.05,0.0008044304724247131,0.0008042542672638342,1.3679890560873757e-11,green_space,pvc,1,18,StressMismatch(d2),-0.0703,0.3484,-0.2781
69,0.3364,0.3364,0.3273,0.05,0.9,0.05,3.001293030751476e-09,6.272698311558819e-09,2.372430335625488e-09,residential_light,clay,1,19,StressMismatch(d2),-0.2864,0.5636,-0.2773
70,0.3361,0.3361,0.3278,0.05,0.9,0.05,0.0,2.7322301969631812e-11,0.0,green_space,clay,1,20,StressMismatch(d2),-0.2861,0.5639,-0.2778
71,0.3338,0.3339,0.3323,0.05,0.1731,0.7769,2.2713490620840062e-09,0.003234625598935592,0.0032344621821486477,residential_light,pvc,1,21,FlowEfficiency(d3),-0.2838,-0.1608,0.4446
72,0.3408,0.3408,0.3184,0.05,0.9,0.05,3.2076907220357213e-09,9.696006596326982e-09,4.044038003860461e-09,residential_light,clay,1,22,StressMismatch(d2),-0.2908,0.5592,-0.2684
73,0.3364,0.3366,0.3271,0.05,0.9,0.05,9.483312407472812e-09,2.4254183610360347e-08,5.290782002510582e-09,residential_dense,hdpe,1,23,StressMismatch(d2),-0.2864,0.5634,-0.2771
74,0.3382,0.3382,0.3237,0.05,0.9,0.05,0.0,1.3086595581171074e-09,0.0,residential_light,concrete,1,24,StressMismatch(d2),-0.2882,0.5618,-0.2737
75,0.3343,0.3343,0.3315,0.05,0.3647,0.5853,6.818432247062299e-09,0.0009769876686468182,0.000977421598635748,residential_dense,hdpe,1,25,FlowEfficiency(d3),-0.2843,0.0304,0.2538
76,0.3387,0.3388,0.3225,0.05,0.9,0.05,1.4095324475760423e-07,5.346752993647681e-07,1.3114626239154455e-07,residential_dense,clay,1,26,StressMismatch(d2),-0.2887,0.5612,-0.2725
77,0.3357,0.3357,0.3286,0.05,0.9,0.05,4.51214137136213e-08,9.962760714357095e-08,1.2343758784176543e-08,residential_dense,pvc,1,27,StressMismatch(d2),-0.2857,0.5643,-0.2786
78,0.3385,0.3385,0.3229,0.05,0.9,0.05,0.0013210691271105506,0.0013217721282161939,9.65238086314817e-10,residential_light,hdpe,1,28,StressMismatch(d2),-0.2885,0.5615,-0.2729
79,0.3369,0.337,0.3261,0.05,0.9,0.05,1.280100444127842e-09,2.5998538313058073e-09,1.280100444127842e-09,residential_dense,hdpe,1,29,StressMismatch(d2),-0.2869,0.563,-0.2761
80,0.3347,0.3347,0.3306,0.05,0.9,0.05,9.86638682232942e-10,7.73395536232937e-06,7.741646346719677e-06,residential_dense,cast_iron,1,30,StressMismatch(d2),-0.2847,0.5653,-0.2806
81,0.3363,0.3363,0.3274,0.071,0.879,0.05,0.0025937102369432133,0.0025936646377453035,1.3679890560873757e-11,green_space,hdpe,1,31,StressMismatch(d2),-0.2653,0.5427,-0.2774
82,0.3337,0.3337,0.3325,0.05,0.3202,0.6298,7.588778741825146e-10,0.0006394702065101229,0.0006395535463898165,residential_light,concrete,1,32,FlowEfficiency(d3),-0.2837,-0.0135,0.2973
83,0.3347,0.3347,0.3306,0.2164,0.7336,0.05,0.0009627455647546062,0.0009627277201431783,0.0,green_space,hdpe,1,33,StressMismatch(d2),-0.1183,0.3989,-0.2806
84,0.337,0.337,0.3259,0.05,0.9,0.05,6.832449449993522e-11,1.912673575326708e-09,6.832449449993522e-11,residential_light,hdpe,1,34,StressMismatch(d2),-0.287,0.563,-0.2759
85,0.3362,0.3362,0.3275,0.05,0.9,0.05,2.732230196952799e-11,1.437475404306249e-09,2.732230196952799e-11,residential_light,concrete,1,35,StressMismatch(d2),-0.2862,0.5638,-0.2775
86,0.3366,0.3368,0.3267,0.05,0.9,0.05,1.9945242958603365e-08,5.860405149641564e-08,1.1922343196595647e-08,industrial,pvc,1,36,StressMismatch(d2),-0.2866,0.5632,-0.2767
87,0.3366,0.3366,0.3268,0.05,0.9,0.05,2.0456121282539167e-10,2.09523452579294e-09,2.0456121282539167e-10,residential_light,concrete,1,37,StressMismatch(d2),-0.2866,0.5634,-0.2768
88,0.3354,0.3354,0.3292,0.1256,0.8243,0.05,0.0019100180274347445,0.0019100308337237303,0.0,green_space,concrete,1,38,StressMismatch(d2),-0.2098,0.4889,-0.2792
89,0.3365,0.3365,0.327,0.1581,0.7919,0.05,0.0016079592144369723,0.0016081218229485022,0.0,green_space,hdpe,1,39,StressMismatch(d2),-0.1784,0.4554,-0.277
90,0.3345,0.3346,0.331,0.0509,0.8991,0.05,0.003238559163277915,0.0032384837228416692,4.0927234225960056e-11,green_space,hdpe,1,40,StressMismatch(d2),-0.2836,0.5645,-0.281
91,0.3367,0.3367,0.3266,0.1417,0.8083,0.05,0.0018788805810393187,0.0018787684348331218,0.0,green_space,concrete,1,41,StressMismatch(d2),-0.195,0.4716,-0.2766
92,0.3435,0.3436,0.3129,0.05,0.9,0.05,1.7813091467870525e-09,3.981522777955227e-09,2.2165545415361787e-09,residential_light,clay,1,42,StressMismatch(d2),-0.2935,0.5564,-0.2629
93,0.3356,0.3356,0.3288,0.05,0.9,0.05,5.4719562243502287e-11,3.744916889971425e-10,1.3679890560873757e-11,residential_light,cast_iron,1,43,StressMismatch(d2),-0.2856,0.5644,-0.2788
94,0.343,0.343,0.314,0.05,0.9,0.05,1.0848111987707087e-07,5.67195360081022e-07,1.8465165001967452e-07,industrial,clay,1,44,StressMismatch(d2),-0.293,0.557,-0.264
95,0.336,0.3361,0.3279,0.0507,0.8993,0.05,0.0024386306525869947,0.00243859176050823,1.3679890560875084e-11,green_space,hdpe,1,45,StressMismatch(d2),-0.2853,0.5632,-0.2779
96,0.3356,0.3356,0.3288,0.05,0.9,0.05,4.4984427412251526e-08,6.125041695561038e-08,8.515525738807646e-09,residential_dense,concrete,1,46,StressMismatch(d2),-0.2856,0.5644,-0.2788
97,0.339,0.339,0.3219,0.05,0.9,0.05,2.150366358712993e-09,5.447107546424717e-09,2.3306036017466246e-09,residential_dense,hdpe,1,47,StressMismatch(d2),-0.289,0.561,-0.2719
98,0.3342,0.3344,0.3314,0.05,0.05,0.9,5.198598279706789e-08,3.914191480988775e-08,1.8017461537022756e-07,residential_dense,clay,1,48,FlowEfficiency(d3),-0.2842,-0.2844,0.5686
99,0.3348,0.3348,0.3304,0.1476,0.8024,0.05,0.0017704449436501013,0.0017705096409497633,0.0,green_space,concrete,1,49,StressMismatch(d2),-0.1872,0.4676,-0.2804
100,0.3385,0.3385,0.323,0.05,0.9,0.05,0.0,1.2608736390399776e-09,0.0,residential_light,concrete,2,0,StressMismatch(d2),-0.2885,0.5615,-0.273
101,0.3363,0.3364,0.3273,0.05,0.9,0.05,6.914004085227056e-09,1.1655604070230345e-08,2.6564098720084375e-09,industrial,cast_iron,2,1,StressMismatch(d2),-0.2863,0.5636,-0.2773
102,0.3347,0.3347,0.3306,0.118,0.832,0.05,0.0026416718200251003,0.0026415520109814134,2.732230196952909e-11,green_space,hdpe,2,2,StressMismatch(d2),-0.2167,0.4973,-0.2806
103,0.3344,0.3345,0.3312,0.05,0.9,0.05,1.1624908644565694e-09,0.0009486629646758969,0.0009484938471225364,residential_light,concrete,2,3,StressMismatch(d2),-0.2844,0.5655,-0.2812
104,0.3342,0.3343,0.3315,0.05,0.9,0.05,1.7552611359949754e-09,0.002165484298034202,0.002165151579184081,residential_dense,cast_iron,2,4,StressMismatch(d2),-0.2842,0.5657,-0.2815
105,0.3334,0.3336,0.333,0.05,0.9,0.05,2.2318272960665295e-08,2.8512540524334466e-06,2.8548498772557444e-06,residential_dense,hdpe,2,5,StressMismatch(d2),-0.2834,0.5664,-0.283
106,0.3352,0.3354,0.3295,0.0597,0.8903,0.05,0.002945164635533997,0.0029451523524913993,2.7322301969528976e-11,green_space,pvc,2,6,StressMismatch(d2),-0.2755,0.5549,-0.2795
107,0.3339,0.3339,0.3322,0.05,0.05,0.9,2.33881153608186e-09,0.006010543926428415,0.006012368852350888,residential_light,pvc,2,7,FlowEfficiency(d3),-0.2839,-0.2839,0.5678
108,0.3385,0.3386,0.3229,0.05,0.9,0.05,0.0,1.5923017821290635e-09,0.0,residential_light,pvc,2,8,StressMismatch(d2),-0.2885,0.5614,-0.2729
109,0.3351,0.3355,0.3294,0.05,0.9,0.05,2.2490489665121946e-09,3.869947341785776e-09,1.9477165826510254e-09,residential_dense,concrete,2,9,StressMismatch(d2),-0.2851,0.5645,-0.2794
110,0.3356,0.3357,0.3287,0.05,0.9,0.05,9.972827614637658e-10,2.5533422033970083e-09,9.972827614637658e-10,residential_dense,cast_iron,2,10,StressMismatch(d2),-0.2856,0.5643,-0.2787
111,0.3361,0.3361,0.3279,0.05,0.9,0.05,2.7322301969527128e-11,9.497217172957591e-11,2.7322301969527128e-11,residential_light,cast_iron,2,11,StressMismatch(d2),-0.2861,0.5639,-0.2779
112,0.3358,0.3358,0.3284,0.05,0.9,0.05,1.3668646815208346e-10,1.940183273051983e-09,6.83244944999342e-11,residential_light,concrete,2,12,StressMismatch(d2),-0.2858,0.5642,-0.2784
113,0.3371,0.3371,0.3258,0.05,0.8999,0.0501,8.172778891741362e-08,1.5764758353173926e-07,1.523992279294787e-08,residential_dense,pvc,2,13,StressMismatch(d2),-0.2871,0.5628,-0.2757
114,0.3372,0.3372,0.3257,0.05,0.9,0.05,1.2176976556791375e-10,2.2632160860575097e-09,1.2176976556791375e-10,residential_light,pvc,2,14,StressMismatch(d2),-0.2872,0.5628,-0.2757
115,0.3355,0.3355,0.3289,0.05,0.9,0.05,0.0002452045106909293,0.0002453294812885344,0.0,green_space,pvc,2,15,StressMismatch(d2),-0.2855,0.5645,-0.2789
116,0.3351,0.3353,0.3296,0.0736,0.8764,0.05,0.0027840439828720224,0.0027840306371455644,2.7322301969529726e-11,green_space,concrete,2,16,StressMismatch(d2),-0.2615,0.5411,-0.2796
117,0.334,0.3346,0.3314,0.05,0.3284,0.6216,6.736596518186605e-08,0.0021679863683076285,0.0021683140054344764,residential_dense,pvc,2,17,FlowEfficiency(d3),-0.284,-0.0062,0.2902
118,0.3338,0.3338,0.3323,0.05,0.4939,0.4561,5.784907145398725e-10,3.4684546371080915e-05,3.4683945767666405e-05,residential_light,cast_iron,2,18,StressMismatch(d2),-0.2838,0.1601,0.1238
119,0.3378,0.3378,0.3245,0.05,0.9,0.05,9.001367989052934e-10,2.5299552124093176e-09,9.001367989052934e-10,residential_dense,concrete,2,19,StressMismatch(d2),-0.2878,0.5622,-0.2745
120,0.3339,0.334,0.3322,0.05,0.05,0.9,1.8335625808144076e-08,1.3207690722035404e-08,5.549635515245889e-08,residential_dense,clay,2,20,FlowEfficiency(d3),-0.2839,-0.284,0.5678
121,0.3393,0.3393,0.3215,0.05,0.9,0.05,5.6463467196365e-09,2.2208496523803013e-08,7.92863969416978e-09,industrial,pvc,2,21,StressMismatch(d2),-0.2893,0.5607,-0.2715
122,0.3362,0.3362,0.3276,0.05,0.9,0.05,0.0,1.4014204598678346e-09,0.0,residential_light,concrete,2,22,StressMismatch(d2),-0.2862,0.5638,-0.2776
123,0.3345,0.3346,0.3309,0.05,0.9,0.05,6.718840327567778e-05,6.72660589547036e-05,0.0,green_space,concrete,2,23,StressMismatch(d2),-0.2845,0.5654,-0.2809
124,0.3332,0.3336,0.3332,0.05,0.3132,0.6368,1.2176976556790294e-10,0.0013942206622940955,0.0013941737204429987,residential_light,concrete,2,24,FlowEfficiency(d3),-0.2832,-0.0204,0.3036
125,0.3349,0.3349,0.3302,0.05,0.9,0.05,9.538031969717582e-09,0.0037279256104042046,0.0037269038571294795,residential_dense,hdpe,2,25,StressMismatch(d2),-0.2849,0.5651,-0.2802
126,0.3357,0.3357,0.3285,0.05,0.9,0.05,6.098877499391327e-08,9.333167175758618e-08,6.021175721005546e-09,residential_dense,pvc,2,26,StressMismatch(d2),-0.2857,0.5643,-0.2785
127,0.3365,0.3365,0.3269,0.05,0.9,0.05,6.765549163277556e-09,1.7638700972588512e-08,4.553117328485602e-09,residential_dense,pvc,2,27,StressMismatch(d2),-0.2865,0.5635,-0.2769
128,0.3401,0.3401,0.3199,0.05,0.9,0.05,6.435102973970535e-08,1.2911740344429698e-07,1.3520379289019439e-08,residential_dense,pvc,2,28,StressMismatch(d2),-0.2901,0.5599,-0.2699
129,0.3381,0.3381,0.3239,0.05,0.9,0.05,8.559443809381458e-08,1.396792159361566e-07,8.828963888835806e-09,residential_dense,pvc,2,29,StressMismatch(d2),-0.2881,0.5619,-0.2739
130,0.3347,0.3347,0.3306,0.05,0.4219,0.528,4.532522534340165e-08,0.00016302686584337324,0.00016308830358113688,residential_dense,clay,2,30,FlowEfficiency(d3),-0.2847,0.0872,0.1974
131,0.3361,0.3361,0.3278,0.05,0.9,0.05,1.801922680508773e-09,3.4594007083688353e-09,1.7394449337557019e-09,residential_light,clay,2,31,StressMismatch(d2),-0.2861,0.5639,-0.2778
132,0.3354,0.3354,0.3292,0.05,0.9,0.05,1.7808912542398385e-07,2.3482765211852437e-07,4.410700297959314e-08,industrial,hdpe,2,32,StressMismatch(d2),-0.2854,0.5646,-0.2792
133,0.3347,0.3347,0.3306,0.05,0.9,0.05,6.380825665723327e-10,4.4303636677096324e-05,4.434904293236907e-05,residential_light,pvc,2,33,StressMismatch(d2),-0.2847,0.5653,-0.2806
134,0.3358,0.3359,0.3283,0.05,0.9,0.05,1.1112741037798042e-07,2.481439199445372e-07,2.999167962820678e-08,industrial,pvc,2,34,StressMismatch(d2),-0.2858,0.5641,-0.2783
135,0.3368,0.3368,0.3263,0.05,0.9,0.05,1.223694320034331e-10,2.4090849464999305e-09,1.223694320034331e-10,residential_light,hdpe,2,35,StressMismatch(d2),-0.2868,0.5632,-0.2763
136,0.3363,0.3363,0.3274,0.05,0.9,0.05,1.3275115716879175e-09,2.6051383917698774e-09,1.3275115716879175e-09,residential_light,pvc,2,36,StressMismatch(d2),-0.2863,0.5637,-0.2774
