zone_id,total_flood_days,flood_rate,avg_degradation,final_degradation,max_degradation,avg_drift_memory,final_drift_memory,max_drift_memory,avg_load_ratio,max_load_ratio,avg_d1,avg_d2,avg_d3,final_w1,final_w2,final_w3,avg_adaptive_thresh,final_adaptive_thresh,flood_trend_slope,flood_acceleration,land_use,drain_material,drain_age_yrs,drain_capacity,infra_health_score,elevation_m,grid_row,grid_col,flood_classification
10,11,0.006027397260273973,0.0730507397260274,0.1194,0.1194,0.05289293150684932,0.0806,0.0933,0.42544246575342465,1.3959,0.0730507397260274,0.03112027397260274,0.0649441095890411,0.1426,0.5089,0.3485,0.8457691506849315,0.8436,-0.19999999999999998,3,residential_dense,hdpe,16,95.92,66.4,14.82,0,10,SAFE
11,126,0.06904109589041096,0.10593123287671233,0.1912,0.1912,0.08715369863013699,0.0718,0.2903,0.5384955616438356,2.1275,0.10593123287671233,0.0571041095890411,0.16253819178082193,0.177,0.773,0.05,0.843027506849315,0.8443,-0.09999999999999974,28,industrial,cast_iron,33,103.04,45.3,14.88,0,11,ACUTE
12,10,0.005479452054794521,0.07158745205479451,0.1639,0.1639,0.0417052602739726,0.0712,0.0851,0.4665481095890411,1.3924,0.07158745205479451,0.03326482191780822,0.03239424657534247,0.0909,0.4453,0.4638,0.8466632328767123,0.8443,-0.2999999999999998,2,residential_light,pvc,33,73.6,43.9,15.67,0,12,SAFE
13,333,0.18246575342465754,0.10641726027397261,0.223,0.223,0.09062142465753424,0.095,0.2723,0.5712283287671233,1.8017,0.10641726027397261,0.06059638356164383,0.14136394520547943,0.2473,0.7026,0.05,0.8427511780821918,0.8424,2.3000000000000007,85,residential_dense,pvc,31,75.2,41.3,13.61,0,13,ACUTE
14,19,0.010410958904109589,0.07770991780821919,0.1647,0.1647,0.060929534246575344,0.0718,0.152,0.4496614246575343,1.6224,0.07770991780821919,0.03513057534246575,0.08415769863013697,0.2881,0.6618,0.0501,0.845125698630137,0.8443,0.4999999999999999,5,residential_dense,concrete,26,95.04,50.0,13.92,0,14,SAFE
15,5,0.0027397260273972603,0.06449808219178083,0.1721,0.1721,0.06906356164383562,0.0952,0.1356,0.3090423561643836,1.1064,0.06449808219178083,0.02006827397260274,0.37699890410958903,0.3609,0.5891,0.05,0.8444756712328768,0.8424,0.3000000000000001,3,residential_light,pvc,6,95.2,86.0,15.24,0,15,SAFE
16,2,0.001095890410958904,0.06348054794520548,0.1309,0.1309,0.0702426301369863,0.0815,0.1424,0.26476723287671233,0.9742,0.06348054794520548,0.016811616438356165,0.39865890410958904,0.3744,0.5756,0.05,0.8443806575342465,0.8435,-2.82382875336702e-17,0,residential_light,concrete,5,115.2,89.0,14.99,0,16,SAFE
17,0,0.0,0.10324454794520548,0.2474,0.2474,0.09745068493150685,0.1301,0.1747,0.1684212602739726,0.6135,0.10324454794520548,0.01746082191780822,0.4662037260273973,0.3527,0.5973,0.05,0.8422039452054794,0.8396,0.0,0,green_space,clay,17,69.12,69.6,16.54,0,17,SAFE
18,223,0.12219178082191781,0.07748476712328767,0.1664,0.1664,0.05339249315068493,0.077,0.1363,0.5539592876712328,1.846,0.07748476712328767,0.043031068493150686,0.04631945205479452,0.1485,0.4843,0.3672,0.8457294246575343,0.8438,1.499999999999999,57,residential_dense,pvc,22,82.4,59.7,15.58,0,18,ACUTE
19,48,0.0263013698630137,0.08298739726027397,0.1952,0.1952,0.06863117808219178,0.0762,0.1763,0.48541002739726025,1.7158,0.08298739726027397,0.040544000000000004,0.13571693150684933,0.2735,0.6765,0.05,0.8445092054794521,0.8439,2.2,24,residential_dense,concrete,30,91.2,43.9,15.37,0,19,MODERATE
20,5,0.0027397260273972603,0.06651331506849315,0.1315,0.1315,0.06315934246575343,0.074,0.1372,0.3809214794520548,1.4489,0.06651331506849315,0.025286575342465756,0.2366042191780822,0.3368,0.6132,0.05,0.8449475068493151,0.8441,0.6000000000000001,5,residential_light,pvc,17,86.4,70.5,18.57,0,20,SAFE
21,4,0.002191780821917808,0.07637369863013699,0.1816,0.1816,0.04182630136986301,0.0657,0.1109,0.3253040547945205,1.2175,0.07637369863013699,0.02503627397260274,0.03374767123287671,0.1722,0.4739,0.3539,0.8466535890410959,0.8447,0.1000000000000001,2,residential_light,concrete,32,89.28,38.8,17.22,0,21,SAFE
22,0,0.0,0.12312865753424658,0.2165,0.2165,0.11795331506849316,0.1138,0.1618,0.10509786301369863,0.4411,0.12312865753424658,0.013007671232876713,0.48132652054794517,0.3775,0.5725,0.05,0.8405646575342466,0.8409,0.0,0,green_space,concrete,15,105.6,70.9,17.85,0,22,SAFE
23,0,0.0,0.07797599999999999,0.1666,0.1666,0.08882504109589041,0.0925,0.1334,0.12179676712328767,0.3276,0.07797599999999999,0.009504109589041096,0.3898923835616438,0.4081,0.5419,0.05,0.8428931506849315,0.8426,0.0,0,green_space,hdpe,21,91.52,60.9,16.7,0,23,SAFE
24,3,0.0016438356164383563,0.08644027397260275,0.1845,0.1845,0.07134668493150684,0.0896,0.1401,0.30960920547945203,1.0413,0.08644027397260275,0.02655556164383562,0.2047786301369863,0.303,0.647,0.05,0.84429298630137,0.8428,0.09999999999999996,1,residential_light,concrete,19,101.76,65.4,17.9,0,24,SAFE
25,5,0.0027397260273972603,0.12269391780821919,0.2356,0.2356,0.09189753424657533,0.0914,0.2494,0.3803143561643836,1.3639,0.12269391780821919,0.04691342465753425,0.2518089863013699,0.1291,0.8209,0.05,0.8426471232876712,0.8427,0.9,5,residential_dense,cast_iron,8,131.04,88.5,18.85,0,25,SAFE
26,0,0.0,0.11354356164383562,0.2003,0.2003,0.12451906849315068,0.1143,0.2045,0.09490849315068493,0.3372,0.11354356164383562,0.010871561643835615,0.6106934794520548,0.3958,0.5542,0.05,0.8400377534246575,0.8409,0.0,0,green_space,concrete,6,114.24,86.2,17.84,0,26,SAFE
27,29,0.01589041095890411,0.10529649315068493,0.2225,0.2225,0.08369775342465753,0.091,0.2306,0.46688257534246574,1.7168,0.10529649315068493,0.04885117808219178,0.18020142465753425,0.1691,0.7809,0.05,0.843303890410959,0.8427,1.4000000000000004,13,residential_dense,hdpe,11,100.32,80.3,19.56,0,27,SAFE
28,20,0.010958904109589041,0.1082678904109589,0.2046,0.2046,0.08613534246575343,0.0856,0.2357,0.472258904109589,1.8892,0.1082678904109589,0.051161424657534246,0.20173095890410958,0.1472,0.8028,0.05,0.8431079452054795,0.8432,1.4000000000000001,16,residential_dense,hdpe,10,101.2,82.9,18.71,0,28,SAFE
29,152,0.08328767123287671,0.06274257534246576,0.1304,0.1304,0.04768482191780822,0.0636,0.124,0.5193123835616438,2.089,0.06274257534246576,0.03281095890410959,0.04947775342465753,0.2558,0.5184,0.2258,0.8461857534246575,0.8449,-0.0999999999999983,26,industrial,pvc,19,84.8,61.3,19.08,0,29,ACUTE
30,2,0.001095890410958904,0.07055232876712329,0.1891,0.1891,0.06695572602739726,0.0976,0.1418,0.3383883287671233,1.0521,0.07055232876712329,0.02399397260273973,0.26948109589041097,0.3364,0.6136,0.05,0.8446427945205479,0.8422,-2.82382875336702e-17,2,residential_light,hdpe,15,96.8,74.1,18.75,0,30,SAFE
31,0,0.0,0.07357161643835616,0.1465,0.1465,0.07438,0.0781,0.0916,0.1411089315068493,0.5564,0.07357161643835616,0.01028821917808219,0.23538175342465756,0.4001,0.5499,0.05,0.8440503013698629,0.8438,0.0,0,green_space,pvc,30,76.0,42.7,21.1,0,31,SAFE
32,4,0.002191780821917808,0.12677139726027398,0.2732,0.2732,0.09132679452054795,0.1071,0.2556,0.2757615890410959,1.0802,0.12677139726027398,0.03520690410958904,0.22462487671232878,0.2181,0.7318,0.05,0.8426950136986302,0.8414,0.5,4,residential_light,concrete,17,103.68,65.1,19.04,0,32,SAFE
33,0,0.0,0.07184301369863014,0.135,0.135,0.08634827397260274,0.0859,0.1603,0.1378734794520548,0.4561,0.07184301369863014,0.009947397260273973,0.464751397260274,0.4063,0.5437,0.05,0.8430917260273972,0.8431,0.0,0,green_space,hdpe,19,93.28,70.3,17.73,0,33,SAFE
34,3,0.0016438356164383563,0.10872367123287671,0.2022,0.2022,0.07863731506849315,0.0724,0.1784,0.37717134246575346,1.2108,0.10872367123287671,0.04126531506849315,0.13895550684931507,0.1712,0.7788,0.05,0.8437094246575343,0.8442,9.959391307082144e-17,1,residential_light,concrete,26,95.04,57.9,19.26,0,34,SAFE
35,0,0.0,0.07348153424657534,0.1671,0.1671,0.09394005479452054,0.1006,0.1745,0.1181934794520548,0.3601,0.07348153424657534,0.008715123287671232,0.5148900273972603,0.4143,0.5357,0.05,0.8424842739726027,0.842,0.0,0,green_space,concrete,15,105.6,76.1,16.8,0,35,SAFE
36,2,0.001095890410958904,0.10101802739726028,0.2198,0.2198,0.08654882191780823,0.1034,0.1588,0.274521205479452,1.0404,0.10101802739726028,0.027882027397260273,0.35186942465753424,0.2893,0.6607,0.05,0.8430767671232876,0.8417,0.10000000000000002,2,residential_light,concrete,9,111.36,81.8,17.75,0,36,SAFE
37,5,0.0027397260273972603,0.12412531506849314,0.251,0.251,0.10018400000000001,0.0846,0.2404,0.37785884931506847,1.4958,0.12412531506849314,0.04704712328767124,0.3940584657534247,0.144,0.806,0.05,0.8419849863013699,0.8432,0.30000000000000004,3,residential_light,clay,6,76.16,85.2,15.04,0,37,SAFE
38,7,0.0038356164383561643,0.053034301369863014,0.1072,0.1072,0.033956,0.0515,0.0914,0.4137878904109589,1.3725,0.053034301369863014,0.022312328767123288,0.03062882191780822,0.2186,0.4456,0.3358,0.8472832876712328,0.8459,1.0000000000000002,7,residential_light,hdpe,33,80.96,42.4,15.09,0,38,SAFE
39,7,0.0038356164383561643,0.07117912328767124,0.1486,0.1486,0.06832230136986302,0.0895,0.1408,0.35182964383561643,1.3515,0.07117912328767124,0.02491819178082192,0.2889590684931507,0.3332,0.6168,0.05,0.8445351780821917,0.8428,0.3000000000000003,3,residential_light,pvc,13,89.6,76.0,16.01,0,39,SAFE
40,63,0.03452054794520548,0.0646505205479452,0.1495,0.1495,0.061303890410958906,0.0864,0.1438,0.4930612602739726,1.9413,0.0646505205479452,0.03214290410958904,0.20152213698630136,0.3368,0.6132,0.05,0.8450946849315069,0.8431,1.5000000000000002,31,industrial,concrete,31,90.24,40.4,15.93,0,40,ACUTE
41,85,0.04657534246575343,0.10183928767123288,0.1949,0.1949,0.08850860273972602,0.0911,0.2631,0.5080848219178082,1.7428,0.10183928767123288,0.0521225205479452,0.2542876164383562,0.1917,0.7582,0.05,0.842918794520548,0.8427,-0.4,19,industrial,pvc,4,96.8,92.8,14.74,0,41,MODERATE
42,0,0.0,0.05331594520547945,0.1294,0.1294,0.08249786301369863,0.0847,0.1592,0.11582449315068494,0.4037,0.05331594520547945,0.006200383561643835,0.46679819178082194,0.4328,0.5172,0.05,0.8433992328767124,0.8432,0.0,0,green_space,pvc,14,88.8,70.1,13.84,0,42,SAFE
43,8,0.004383561643835616,0.11671873972602739,0.2533,0.2533,0.08417753424657534,0.0832,0.2035,0.36615528767123284,1.169,0.11671873972602739,0.042547999999999996,0.16883446575342467,0.168,0.782,0.05,0.8432656438356165,0.8433,0.6000000000000002,6,residential_light,concrete,24,96.96,60.9,13.07,0,43,SAFE
44,4,0.002191780821917808,0.10009556164383561,0.1934,0.1934,0.046521150684931505,0.0579,0.1269,0.3338475068493151,1.291,0.10009556164383561,0.03378301369863014,0.03132909589041096,0.05,0.4755,0.4745,0.8462776438356164,0.8454,0.6000000000000003,4,residential_light,concrete,32,89.28,40.0,11.36,0,44,SAFE
45,7,0.0038356164383561643,0.0845987397260274,0.1564,0.1564,0.07156717808219178,0.0804,0.1486,0.35658498630136987,1.4947,0.0845987397260274,0.030228547945205478,0.21671254794520547,0.2906,0.6594,0.05,0.8442744657534247,0.8436,0.30000000000000004,5,residential_light,hdpe,19,93.28,67.4,11.63,0,45,SAFE
46,4,0.002191780821917808,0.1065468493150685,0.1596,0.1596,0.08790301369863014,0.0722,0.1326,0.33263254794520547,1.3088,0.1065468493150685,0.035774465753424654,0.32553139726027397,0.2326,0.7173,0.05,0.842967890410959,0.8442,-1.163575519078048e-16,2,residential_light,pvc,11,91.2,78.3,11.47,0,46,SAFE
47,42,0.023013698630136987,0.10630476712328768,0.2188,0.2188,0.0734786301369863,0.0715,0.2192,0.487993698630137,1.3113,0.10630476712328768,0.05155561643835616,0.06032986301369863,0.1279,0.8012,0.0709,0.8441221369863013,0.8443,1.3000000000000005,20,residential_dense,concrete,26,95.04,53.4,12.64,0,47,MODERATE
48,4,0.002191780821917808,0.06252060273972602,0.1598,0.1598,0.06778367123287672,0.0975,0.1456,0.3410372054794521,1.24,0.06252060273972602,0.021131726027397258,0.3848551780821918,0.3576,0.5924,0.05,0.8445772602739726,0.8422,0.1000000000000001,2,residential_light,pvc,7,94.4,87.9,11.65,0,48,SAFE
49,2,0.001095890410958904,0.11662772602739725,0.2308,0.2308,0.09767391780821917,0.1031,0.2103,0.2537150684931507,1.082,0.11662772602739725,0.029791342465753424,0.4274659726027397,0.2663,0.6837,0.05,0.8421860821917809,0.8417,0.20000000000000004,2,residential_light,concrete,4,116.16,89.6,9.34,0,49,SAFE
50,16,0.008767123287671232,0.1210212602739726,0.2566,0.2566,0.10491660273972603,0.0806,0.2327,0.47291813698630136,1.3297,0.1210212602739726,0.056973534246575336,0.4350503561643836,0.0813,0.8687,0.05,0.8416067945205479,0.8436,0.09999999999999992,6,residential_light,clay,7,75.52,92.1,12.69,1,0,SAFE
51,2,0.001095890410958904,0.10626372602739725,0.2388,0.2388,0.08792471232876713,0.1051,0.2197,0.27189764383561643,1.0297,0.10626372602739725,0.029208986301369862,0.3251260821917808,0.2751,0.6749,0.05,0.8429650410958904,0.8416,0.09999999999999999,0,residential_light,cast_iron,13,125.44,79.4,12.18,1,1,SAFE
52,0,0.0,0.11440756164383561,0.2211,0.2211,0.10360076712328768,0.1095,0.1337,0.11749019178082191,0.4479,0.11440756164383561,0.013570027397260273,0.3467922739726027,0.3732,0.5768,0.05,0.8417115616438355,0.8412,0.0,0,green_space,cast_iron,27,109.76,55.8,12.28,1,2,SAFE
53,0,0.0,0.07519194520547945,0.18,0.18,0.09050597260273972,0.1013,0.1371,0.11137326027397261,0.3664,0.07519194520547945,0.008407616438356164,0.39856821917808216,0.4154,0.5346,0.05,0.842758301369863,0.8419,0.0,0,green_space,cast_iron,23,114.24,62.5,14.14,1,3,SAFE
54,7,0.0038356164383561643,0.057111999999999996,0.16,0.16,0.03671775342465754,0.0825,0.1102,0.43330284931506846,1.4552,0.057111999999999996,0.0249093698630137,0.03440460273972603,0.1825,0.433,0.3845,0.8470625753424658,0.8434,0.9000000000000002,7,residential_light,pvc,31,75.2,45.2,15.25,1,4,SAFE
55,3,0.0016438356164383563,0.08817863013698629,0.206,0.206,0.08117024657534246,0.1072,0.1571,0.3204232876712329,1.0861,0.08817863013698629,0.028583452054794522,0.373022794520548,0.2936,0.6564,0.05,0.8435064109589041,0.8414,-0.09999999999999992,1,residential_light,concrete,10,110.4,86.2,15.86,1,5,SAFE
56,8,0.004383561643835616,0.11618580821917808,0.2273,0.2273,0.08683424657534246,0.0897,0.2624,0.4282244931506849,1.5083,0.11618580821917808,0.049993315068493145,0.176234301369863,0.1257,0.8243,0.05,0.8430536438356164,0.8428,0.6000000000000002,6,residential_light,clay,20,67.2,59.9,14.72,1,6,SAFE
57,8,0.004383561643835616,0.07607835616438356,0.1973,0.1973,0.07372230136986302,0.114,0.1774,0.3988594520547945,1.6455,0.07607835616438356,0.030610246575342465,0.3368520547945206,0.3069,0.6431,0.05,0.8441017534246575,0.8409,0.10000000000000016,2,residential_light,clay,9,74.24,80.8,15.72,1,7,SAFE
58,2,0.001095890410958904,0.09081671232876712,0.1785,0.1785,0.05068257534246575,0.0504,0.1402,0.3496322739726027,1.2086,0.09081671232876712,0.031573534246575344,0.04172871232876712,0.1348,0.5405,0.3248,0.8459455342465754,0.846,0.40000000000000013,2,residential_light,hdpe,33,80.96,36.1,16.64,1,8,SAFE
59,349,0.19123287671232878,0.06572356164383561,0.1661,0.1661,0.06401002739726028,0.0905,0.183,0.5848878356164383,2.4703,0.06572356164383561,0.03813430136986302,0.14170208219178082,0.3588,0.5911,0.05,0.8448791232876712,0.8428,-0.6000000000000032,73,residential_dense,pvc,30,76.0,44.3,17.37,1,9,ACUTE
60,0,0.0,0.12175512328767124,0.2732,0.2732,0.10297287671232877,0.1262,0.1728,0.16860964383561644,0.5645,0.12175512328767124,0.020660876712328767,0.4125970410958904,0.3265,0.6234,0.05,0.8417625753424657,0.8399,0.0,0,green_space,clay,20,67.2,62.9,15.85,1,10,SAFE
61,0,0.0,0.06308082191780821,0.1621,0.1621,0.08884,0.0967,0.1492,0.10534208219178083,0.3447,0.06308082191780821,0.006639890410958905,0.4404193424657534,0.4286,0.5214,0.05,0.8428930410958905,0.8423,0.0,0,green_space,concrete,17,103.68,67.1,16.01,1,11,SAFE
62,2,0.001095890410958904,0.11556871232876713,0.1881,0.1881,0.09112147945205479,0.0848,0.1478,0.27769298630136985,0.8878,0.11556871232876713,0.032321972602739724,0.3310942465753424,0.2406,0.7094,0.05,0.8427111780821918,0.8432,0.10000000000000002,2,residential_light,cast_iron,13,125.44,79.9,14.99,1,12,SAFE
63,4,0.002191780821917808,0.06782487671232877,0.1464,0.1464,0.07114241095890411,0.0878,0.1482,0.32303879452054796,1.2288,0.06782487671232877,0.022064821917808217,0.38969879452054795,0.349,0.601,0.05,0.8443086575342466,0.843,0.4,2,residential_light,pvc,6,95.2,87.8,14.93,1,13,SAFE
64,0,0.0,0.10013167123287671,0.1975,0.1975,0.11218186301369863,0.111,0.1562,0.08997753424657534,0.3276,0.10013167123287671,0.009017095890410958,0.46142772602739723,0.4084,0.5416,0.05,0.8410251506849314,0.8411,0.0,0,green_space,cast_iron,16,122.08,69.0,17.15,1,14,SAFE
65,0,0.0,0.0850175890410959,0.1696,0.1696,0.09457008219178081,0.0921,0.1222,0.10365227397260274,0.3698,0.0850175890410959,0.008904767123287671,0.3574717808219178,0.4087,0.5413,0.05,0.8424339726027398,0.8426,0.0,0,green_space,cast_iron,24,113.12,57.2,18.11,1,15,SAFE
66,756,0.41424657534246573,0.10017304109589041,0.2262,0.2262,0.10279068493150684,0.1372,0.409,0.7489814246575343,3.1488,0.10017304109589041,0.07570827397260274,0.1801509589041096,0.3498,0.6001,0.0501,0.841776602739726,0.839,-0.40000000000000363,150,industrial,clay,31,60.16,40.6,17.26,1,16,ACUTE
67,315,0.1726027397260274,0.12371134246575342,0.226,0.226,0.06073983561643836,0.0885,0.1547,0.5885094794520548,2.0599,0.12371134246575342,0.07302153424657534,0.03456109589041096,0.05,0.2901,0.6599,0.8451406575342465,0.8429,6.629306226454264e-16,61,residential_light,clay,34,58.24,41.8,19.01,1,17,ACUTE
68,0,0.0,0.08566180821917808,0.1881,0.1881,0.10936224657534246,0.1159,0.2164,0.10625638356164384,0.4021,0.08566180821917808,0.009143287671232877,0.6429826301369862,0.4111,0.5389,0.05,0.8412499726027397,0.8407,0.0,0,green_space,pvc,3,97.6,90.3,19.04,1,18,SAFE
69,181,0.09917808219178083,0.12442071232876713,0.2609,0.2609,0.09850882191780823,0.1031,0.2781,0.5568643287671232,1.8262,0.12442071232876713,0.06922509589041097,0.16266717808219178,0.0779,0.872,0.05,0.8421197260273973,0.8418,-0.39999999999999575,39,residential_light,clay,25,64.0,59.9,18.6,1,19,ACUTE
70,0,0.0,0.11484202739726028,0.2286,0.2286,0.09166471232876712,0.1027,0.1536,0.20045879452054796,0.6015,0.11484202739726028,0.023260986301369864,0.3032072876712329,0.3062,0.6438,0.05,0.8426672328767123,0.8418,0.0,0,green_space,clay,29,61.44,50.5,19.99,1,20,SAFE
71,7,0.0038356164383561643,0.050687780821917806,0.1313,0.1313,0.032770794520547944,0.0646,0.1092,0.39011545205479453,1.6191,0.050687780821917806,0.019651671232876713,0.03213002739726028,0.2297,0.4287,0.3416,0.847377698630137,0.8448,0.4,7,residential_light,pvc,30,76.0,43.0,21.33,1,21,SAFE
72,6,0.0032876712328767125,0.1535165479452055,0.3,0.3,0.11082745205479452,0.0816,0.3078,0.3700003835616439,1.49,0.1535165479452055,0.05643194520547945,0.38409446575342465,0.05,0.9,0.05,0.8411339178082192,0.8435,-0.10000000000000002,2,residential_light,clay,7,75.52,82.5,19.71,1,22,SAFE
73,75,0.0410958904109589,0.11186756164383561,0.2267,0.2267,0.0866132602739726,0.1023,0.2682,0.5172665205479452,1.6867,0.11186756164383561,0.05789254794520548,0.14116931506849315,0.1017,0.8482,0.05,0.843070191780822,0.8418,1.9000000000000006,25,residential_dense,hdpe,15,96.8,76.2,21.09,1,23,MODERATE
74,2,0.001095890410958904,0.11369769863013698,0.246,0.246,0.09419731506849315,0.1085,0.1853,0.29818120547945204,1.0025,0.11369769863013698,0.03362953424657534,0.39938263013698627,0.2401,0.7099,0.05,0.8424646575342466,0.8413,-0.09999999999999998,0,residential_light,concrete,8,112.32,87.7,16.61,1,24,SAFE
75,150,0.0821917808219178,0.11392312328767122,0.2435,0.2435,0.06836115068493151,0.12,0.1908,0.5411402739726028,2.1441,0.11392312328767122,0.06214383561643835,0.05652487671232877,0.05,0.4338,0.5162,0.8445300273972602,0.8404,0.19999999999999887,36,residential_dense,hdpe,22,90.64,62.7,19.78,1,25,ACUTE
76,586,0.32109589041095893,0.13210624657534245,0.2826,0.2826,0.12019824657534246,0.1575,0.4398,0.6714212602739726,2.469,0.13210624657534245,0.08891583561643836,0.2263117808219178,0.2128,0.7371,0.0501,0.8403841643835617,0.8374,0.9000000000000075,128,residential_dense,clay,10,73.6,84.7,18.86,1,26,CHRONIC
77,43,0.023561643835616437,0.04775019178082191,0.1319,0.1319,0.044934246575342465,0.0833,0.1144,0.4709174794520548,1.4476,0.04775019178082191,0.022158794520547944,0.07900350684931506,0.3341,0.5458,0.12,0.8464049863013698,0.8433,1.1000000000000003,15,residential_dense,pvc,14,88.8,70.5,18.43,1,27,MODERATE
78,3,0.0016438356164383563,0.08972109589041097,0.1668,0.1668,0.08451353424657534,0.0938,0.1524,0.2887482191780822,1.2341,0.08972109589041097,0.0257453698630137,0.4289957808219178,0.3091,0.6409,0.05,0.843237698630137,0.8425,-0.20000000000000004,-1,residential_light,hdpe,4,106.48,91.4,18.94,1,28,SAFE
79,8,0.004383561643835616,0.04322745205479452,0.0999,0.0999,0.04729430136986301,0.061,0.1075,0.4060367671232877,1.7453,0.04322745205479452,0.017477260273972603,0.18592235616438355,0.393,0.557,0.05,0.8462157260273973,0.8451,0.4000000000000001,4,residential_dense,hdpe,7,103.84,83.6,17.09,1,29,SAFE
80,7,0.0038356164383561643,0.08698367123287672,0.2379,0.2379,0.05863841095890411,0.1189,0.1911,0.43169654794520546,1.3532,0.08698367123287672,0.03788827397260274,0.06685654794520547,0.0814,0.5797,0.3389,0.8453090410958904,0.8405,0.6000000000000001,5,residential_dense,cast_iron,20,117.6,67.6,19.12,1,30,SAFE
81,0,0.0,0.08210224657534247,0.1942,0.1942,0.09765731506849315,0.1135,0.1807,0.1215989589041096,0.4802,0.08210224657534247,0.010025753424657535,0.531388,0.4046,0.5454,0.05,0.8421867397260274,0.8409,0.0,0,green_space,hdpe,13,98.56,77.8,19.9,1,31,SAFE
82,4,0.002191780821917808,0.11698126027397261,0.1883,0.1883,0.0508334794520548,0.069,0.0941,0.33892394520547947,1.0519,0.11698126027397261,0.03998432876712329,0.03513819178082192,0.05,0.418,0.532,0.8459340821917808,0.8445,0.7000000000000001,4,residential_light,concrete,31,90.24,42.5,21.08,1,32,SAFE
83,0,0.0,0.10552147945205478,0.222,0.222,0.09220542465753424,0.1023,0.1427,0.12339643835616439,0.5088,0.10552147945205478,0.01314586301369863,0.24664071232876714,0.3724,0.5776,0.05,0.8426229589041097,0.8418,0.0,0,green_space,hdpe,29,84.48,43.4,18.92,1,33,SAFE
